Sample	celltype	treatment	rat	condition	experiment	note
20200618_A4-28_Luminal_CGDA7928_75_S53	Luminal	C.TF	A4-28	mE2	exp7	
20200618_A4-37_CD45_CGDA7928_113_S90	CD45	C.TB	A4-37	pE2	exp7	tumor
20200618_A4-37_CD45_CGDA7928_92_S70	CD45	C.TB	A4-37	pE2	exp7	normal
20200618_A4-37_DN_CGDA7928_114_S91	DN	C.TB	A4-37	pE2	exp7	tumor
20200618_A4-37_EpCAM_CGDA7928_112_S89	EpCAM	C.TB	A4-37	pE2	exp7	tumor
20200618_A4-37_Luminal_CGDA7928_72_S50	Luminal	C.TB	A4-37	pE2	exp7	normal
20200618_A4-38_CD45_CGDA7928_96_S74	CD45	C.TF	A4-38	mE2	exp7	
20200618_A4-38_Luminal_CGDA7928_76_S54	Luminal	C.TF	A4-38	mE2	exp7	
20200618_A4-3_CD45_CGDA7928_110_S87	CD45	C.TB	A4-3	pE2	exp7	tumor
20200618_A4-3_CD45_CGDA7928_90_S68	CD45	C.TB	A4-3	pE2	exp7	normal
20200618_A4-3_DN_CGDA7928_111_S88	DN	C.TB	A4-3	pE2	exp7	tumor
20200618_A4-3_Luminal_CGDA7928_70_S48	Luminal	C.TB	A4-3	pE2	exp7	
20200618_A4-40_CD45_CGDA7928_108_S86	CD45	D.TF	A4-40	mE2	exp7	
20200618_A4-40_Luminal_CGDA7928_88_S66	Luminal	D.TF	A4-40	mE2	exp7	
20200618_A4-4_CD45_CGDA7928_97_S75	CD45	D.TF	A4-4	pE2	exp7	
20200618_A4-4_Luminal_CGDA7928_77_S55	Luminal	D.TF	A4-4	pE2	exp7	
20200618_A4-8_CD45_CGDA7928_93_S71	CD45	C.TF	A4-8	mE2	exp7	
20200618_A4-8_Luminal_CGDA7928_73_S51	Luminal	C.TF	A4-8	mE2	exp7	
20200618_A4-9_CD45_CGDA7928_98_S76	CD45	D.TB	A4-9	pE2	exp7	
20200618_A4-9_Luminal_CGDA7928_78_S56	Luminal	D.TB	A4-9	pE2	exp7	
20200618_C_N1N_Basal_CGDA7928_2_S2	Basal	C	N1N	virgin	exp3	
20200618_C_N1N_CD45_CGDA7928_34_S34	CD45	C	N1N	virgin	exp3	
20200618_C_N1N_Luminal_CGDA7928_18_S18	Luminal	C	N1N	virgin	exp3	
20200618_C_N1R_Basal_CGDA7928_1_S1	Basal	C	N1R	virgin	exp3	
20200618_C_N1R_CD45_CGDA7928_33_S33	CD45	C	N1R	virgin	exp3	
20200618_C_N1R_Luminal_CGDA7928_17_S17	Luminal	C	N1R	virgin	exp3	
20200618_C_N2N_Basal_CGDA7928_4_S4	Basal	C	N2N	virgin	exp3	
20200618_C_N2N_CD45_CGDA7928_36_S36	CD45	C	N2N	virgin	exp3	
20200618_C_N2N_Luminal_CGDA7928_20_S20	Luminal	C	N2N	virgin	exp3	
20200618_C_N2R_Basal_CGDA7928_3_S3	Basal	C	N2R	virgin	exp3	
20200618_C_N2R_CD45_CGDA7928_35_S35	CD45	C	N2R	virgin	exp3	
20200618_C_N2R_Luminal_CGDA7928_19_S19	Luminal	C	N2R	virgin	exp3	
20200618_C_P1N_Basal_CGDA7928_6_S6	Basal	C	P1N	parous	exp3	
20200618_C_P1N_Luminal_CGDA7928_22_S22	Luminal	C	P1N	parous	exp3	
20200618_C_P1R_Basal_CGDA7928_5_S5	Basal	C	P1R	parous	exp3	
20200618_C_P1R_Luminal_CGDA7928_21_S21	Luminal	C	P1R	parous	exp3	
20200618_C_P2N_Basal_CGDA7928_8_S8	Basal	C	P2N	parous	exp3	
20200618_C_P2N_CD45_CGDA7928_40_S38	CD45	C	P2N	parous	exp3	
20200618_C_P2N_Luminal_CGDA7928_24_S24	Luminal	C	P2N	parous	exp3	
20200618_C_P2R_Basal_CGDA7928_7_S7	Basal	C	P2R	parous	exp3	
20200618_C_P2R_CD45_CGDA7928_39_S37	CD45	C	P2R	parous	exp3	
20200618_C_P2R_Luminal_CGDA7928_23_S23	Luminal	C	P2R	parous	exp3	
20200618_D_N1N_Basal_CGDA7928_10_S10	Basal	D	N1N	virgin	exp3	
20200618_D_N1N_CD45_CGDA7928_42_S40	CD45	D	N1N	virgin	exp3	
20200618_D_N1N_Luminal_CGDA7928_26_S26	Luminal	D	N1N	virgin	exp3	
20200618_D_N1R_Basal_CGDA7928_9_S9	Basal	D	N1R	virgin	exp3	
20200618_D_N1R_CD45_CGDA7928_41_S39	CD45	D	N1R	virgin	exp3	
20200618_D_N1R_Luminal_CGDA7928_25_S25	Luminal	D	N1R	virgin	exp3	
20200618_D_N2N_Basal_CGDA7928_12_S12	Basal	D	N2N	virgin	exp3	
20200618_D_N2N_CD45_CGDA7928_44_S42	CD45	D	N2N	virgin	exp3	failed
20200618_D_N2N_Luminal_CGDA7928_28_S28	Luminal	D	N2N	virgin	exp3	
20200618_D_N2R_Basal_CGDA7928_11_S11	Basal	D	N2R	virgin	exp3	
20200618_D_N2R_CD45_CGDA7928_43_S41	CD45	D	N2R	virgin	exp3	
20200618_D_N2R_Luminal_CGDA7928_27_S27	Luminal	D	N2R	virgin	exp3	
20200618_D_P1N_Basal_CGDA7928_14_S14	Basal	D	P1N	parous	exp3	
20200618_D_P1N_CD45_CGDA7928_46_S44	CD45	D	P1N	parous	exp3	
20200618_D_P1N_Luminal_CGDA7928_30_S30	Luminal	D	P1N	parous	exp3	
20200618_D_P1R_Basal_CGDA7928_13_S13	Basal	D	P1R	parous	exp3	
20200618_D_P1R_CD45_CGDA7928_45_S43	CD45	D	P1R	parous	exp3	
20200618_D_P1R_Luminal_CGDA7928_29_S29	Luminal	D	P1R	parous	exp3	
20200618_D_P2N_Basal_CGDA7928_16_S16	Basal	D	P2N	parous	exp3	
20200618_D_P2N_CD45_CGDA7928_48_S46	CD45	D	P2N	parous	exp3	
20200618_D_P2N_Luminal_CGDA7928_32_S32	Luminal	D	P2N	parous	exp3	
20200618_D_P2R_Basal_CGDA7928_15_S15	Basal	D	P2R	parous	exp3	
20200618_D_P2R_CD45_CGDA7928_47_S45	CD45	D	P2R	parous	exp3	
20200618_D_P2R_Luminal_CGDA7928_31_S31	Luminal	D	P2R	parous	exp3	
