	Gene Symbol	CD44+ N48	CD44+ N58	CD44+ N43	CD44+ N37	CD44+ N39	CD44+ N40	PseudoFC	P value	Gene description
52	COX6A1	2.2332741	8.6954164	7.822811	3.2775699	2.2332741	3.0539842	-27.262138	4.17E-02	cytochrome c oxidase subunit VIa polypeptide 1
53	SLC38A5	6.6889616	8.6194661	9.3597268	3.7972662	4.5078116	3.8592574	-27.09977	2.61E-03	"solute carrier family 38, member 5"
54	PMAIP1	5.1044441	7.4189649	7.4893406	1.6483116	2.738957	1.6483116	-26.915841	1.43E-03	phorbol-12-myristate-13-acetate-induced protein 1
55	MYL9	9.59309	10.3724746	8.2701985	4.4924321	5.6538285	3.8592574	-26.330191	9.73E-04	"myosin, light chain 9, regulatory"
56	GLT8D2	6.9484265	7.5894617	6.9721252	2.2332741	2.2332741	4.4807314	-26.266506	2.08E-03	glycosyltransferase 8 domain containing 2
57	TCN2	6.2020682	5.5435526	5.3587505	0.6483116	0.6483116	2.3702641	-26.180829	7.41E-04	transcobalamin II
58	TMEM14C	6.7336867	8.3387538	7.4347987	3.3258485	2.738957	2.7522541	-25.679489	3.41E-04	transmembrane protein 14C
59	PPP1CA	5.8606947	8.4638621	8.6988011	4.0174556	2.6483116	2.6483116	-25.658154	2.76E-03	"protein phosphatase 1, catalytic subunit, alpha isozyme"
60	TMEM93	4.0076061	7.4161542	7.691195	3.0232337	1.6483116	1.6483116	-25.421219	7.17E-03	transmembrane protein 93
61	MTCO1	12.8735151	13.692274	13.8629298	9.0441996	9.6124015	7.9849486	-25.073203	4.70E-04	No description
62	GADD45A	6.0692316	9.5771115	8.7366661	2.6483116	4.0967549	4.6465052	-24.931732	5.86E-03	"growth arrest and DNA-damage-inducible, alpha"
63	ACTG1	13.9793427	14.0852264	13.5899546	9.2791611	9.9356472	8.967065	-24.639304	1.47E-04	"actin, gamma 1"
64	DNTTIP1	1.6483116	6.2324592	6.2440961	1.6483116	1.6483116	1.6483116	-23.986448	3.17E-02	"deoxynucleotidyltransferase, terminal, interacting protein 1"
65	PENK	7.9412028	7.2039911	2.840586	2.6483116	2.6483116	2.6483116	-23.517772	2.61E-02	proenkephalin
66	KIAA0114	1.6483116	7.0554144	7.5710339	3.0232337	1.6483116	1.6483116	-23.38968	4.03E-02	KIAA0114
67	AZGP1	5.8212477	7.8860352	8.8131913	2.9513801	4.2654337	2.2332741	-23.388989	4.09E-03	"alpha-2-glycoprotein 1, zinc-binding"
68	DAP	6.776503	9.2848316	8.1766779	4.6779819	3.6483116	3.6483116	-23.07672	2.69E-03	death-associated protein
69	MRPL15	0.6483116	6.7225276	5.9613256	2.201703	0.6483116	0.6483116	-22.956401	4.31E-02	mitochondrial ribosomal protein L15
70	SNX3	3.618666	8.8382641	8.0922167	3.8706046	3.0432059	3.573865	-22.917086	2.78E-02	sorting nexin 3
71	SEPP1	8.9671937	9.1183646	9.2433587	3.8376841	4.617732	5.0194019	-22.637341	1.38E-04	"selenoprotein P, plasma, 1"
72	MRPL44	7.2573808	9.6798019	9.7850291	5.0177523	4.5078116	5.2973169	-22.435512	3.75E-03	mitochondrial ribosomal protein L44
73	EEF1G	12.1694662	13.5226855	13.6888853	8.5135942	9.2096882	8.857021	-22.303483	6.10E-04	eukaryotic translation elongation factor 1 gamma
74	SLC2A14	8.464975	6.3402902	6.5621372	4.0174236	1.6483116	3.9293281	-21.81958	6.11E-03	"solute carrier family 2 (facilitated glucose transporter), member 14"
75	ERO1L	8.0739159	9.5366531	9.5263833	5.1173666	4.599971	4.0127195	-21.396257	5.79E-04	ERO1-like (S. cerevisiae)
76	NGRN	5.5521481	8.2813603	8.1081013	3.7182933	3.8520425	3.3033944	-20.963504	5.89E-03	"neugrin, neurite outgrowth associated"
77	C5orf13	9.153641	7.5406943	7.608832	3.2332741	3.2332741	3.2332741	-20.757458	2.42E-04	chromosome 5 open reading frame 13
78	ATP1B1	5.8846755	8.6746072	8.9581772	3.8182366	4.5853266	4.1464125	-20.718542	7.96E-03	"ATPase, Na+/K+ transporting, beta 1 polypeptide"
79	YWHAE	5.6454486	9.9504652	9.171504	4.7752223	4.8000617	5.2901906	-20.698328	1.97E-02	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"
80	CHMP5	6.5760757	8.5758683	8.8052117	4.4773665	1.6483116	4.2050532	-20.689331	4.02E-03	chromatin modifying protein 5
81	PNRC1	10.5052733	12.3240051	12.1789556	7.9581529	6.6634915	7.6851448	-20.618282	1.45E-03	proline-rich nuclear receptor coactivator 1
82	TMEM66	6.5117795	9.5203577	8.5146502	4.15073	3.5081591	5.0080627	-20.590689	5.30E-03	transmembrane protein 66
83	EEF1E1	1.6483116	6.003403	6.1784631	1.6483116	1.6483116	1.6483116	-20.465066	3.31E-02	eukaryotic translation elongation factor 1 epsilon 1
84	COX6C	4.1417523	8.0870164	8.0307414	2.9513801	2.2332741	3.7371269	-20.391408	1.36E-02	cytochrome c oxidase subunit VIc
85	H1FX	9.180601	10.410536	11.0378631	7.7748871	4.8380569	5.9386136	-20.28785	5.29E-03	"H1 histone family, member X"
86	BMS1P5	4.9718302	5.5142969	6.3081511	2.201703	0.6483116	0.6483116	-20.022061	8.05E-04	BMS1 pseudogene 5
87	MRPL36	0.6483116	5.7475236	4.9718302	0.6483116	0.6483116	0.6483116	-20.022061	3.14E-02	mitochondrial ribosomal protein L36
88	SNRNP27	4.2644796	7.866145	8.173779	3.493717	3.8520425	2.6483116	-19.997344	1.65E-02	small nuclear ribonucleoprotein 27kDa (U4/U6.U5)
89	C8orf59	3.4217357	7.2731911	7.3429615	3.0232337	2.738957	1.6483116	-19.969521	1.63E-02	chromosome 8 open reading frame 59
90	TUBA1C	6.9666198	11.1318198	10.0084204	5.6910232	6.4538052	5.4002466	-19.937287	1.50E-02	"tubulin, alpha 1c"
91	TMSB10	10.4631438	12.3144859	12.4730362	7.1828238	8.1607385	7.9267831	-19.866939	2.14E-03	thymosin beta 10
92	CXCL6	6.4701888	10.0260234	10.0544247	5.6021686	4.617732	5.7494551	-19.766282	1.40E-02	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)
93	SURF1	1.6483116	6.2514989	5.9398727	1.6483116	1.6483116	1.6483116	-19.583424	3.31E-02	surfeit 1
94	DERL2	2.6483116	7.7250976	7.5065759	3.2175749	2.6483116	3.3033944	-19.548703	4.42E-02	"Der1-like domain family, member 2"
95	ITPA	4.6572712	7.5433489	6.9596754	3.2775699	2.2332741	2.2332741	-19.236561	5.80E-03	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
96	RPLP1	6.7113152	11.7029961	10.3093622	6.0562682	5.8482241	6.4159893	-19.068164	2.11E-02	"ribosomal protein, large, P1"
97	C7orf23	1.6483116	5.8972692	6.0325614	1.6483116	1.6483116	1.6483116	-19.013571	3.43E-02	chromosome 7 open reading frame 23
98	FBXO7	5.4230841	8.0767442	7.8550033	3.8376841	3.2943327	2.6483116	-18.883576	5.03E-03	F-box protein 7
99	C14orf147	8.216616	10.4225077	10.4751627	5.8635481	6.1702291	6.2878399	-18.21838	4.54E-03	chromosome 14 open reading frame 147
100	FAM162A	3.4217357	7.3197088	6.9237531	1.6483116	2.738957	2.7522541	-18.186501	1.54E-02	"family with sequence similarity 162, member A"
101	SYPL1	4.4824552	9.2101461	9.1075041	4.9303511	4.7722515	5.0045149	-18.090407	4.84E-02	synaptophysin-like 1
102	CENPH	7.0010262	8.255444	7.8385835	3.7371269	3.6862881	3.0539842	-17.78138	4.43E-04	centromere protein H
103	MRFAP1	2.6483116	7.8509491	6.7953232	3.2175749	2.6483116	2.6483116	-17.716376	3.97E-02	Mof4 family associated protein 1
104	TUBA1A	8.427825	10.1401485	9.7933528	4.5294444	6.005556	5.0137688	-17.564523	1.17E-03	"tubulin, alpha 1a"
105	KCTD9	7.089667	9.4438797	9.5847016	4.9539703	4.5809869	5.4510974	-17.552495	5.06E-03	potassium channel tetramerisation domain containing 9
106	COX6B1	4.0076061	8.3252549	8.5074855	4.3757263	4.1737885	3.9293281	-17.530062	3.95E-02	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)
107	RPS8	9.2202925	11.9250959	12.1603631	7.022167	7.797849	7.9452496	-17.475319	8.88E-03	ribosomal protein S8
108	CUL4B	6.8483015	6.9357985	6.3563425	2.9513801	2.2332741	2.2332741	-17.424778	1.74E-04	cullin 4B
109	MTND5	8.5489917	11.2991359	10.4755638	6.8564127	6.3568093	5.8934804	-17.372753	5.05E-03	No description
110	UGDH	7.6900599	11.6579273	10.4439262	6.380091	6.1777441	6.3269687	-17.351127	1.13E-02	UDP-glucose 6-dehydrogenase
111	MRPL51	0.6483116	6.3178695	6.278927	2.201703	0.6483116	0.6483116	-17.341617	4.31E-02	mitochondrial ribosomal protein L51
112	RBM3	8.9365511	10.4215227	10.5796525	6.4011929	6.3196679	5.1552403	-17.170436	1.70E-03	"RNA binding motif (RNP1, RRM) protein 3"
113	NDUFA4	5.8075741	8.849238	8.4017172	4.067183	4.7567522	4.104181	-17.059291	1.03E-02	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa"
114	NCSTN	7.1481228	8.4447386	7.0579856	3.8806081	2.9702397	3.8592574	-17.003336	1.02E-03	nicastrin
115	KRT6B	6.8285426	10.0790376	8.8960952	4.3757263	7.6126933	2.7522541	-16.868836	2.30E-02	keratin 6B
116	HMGCL	5.2040819	3.958765	4.7131882	0.6483116	0.6483116	0.6483116	-16.735927	4.52E-04	3-hydroxymethyl-3-methylglutaryl-CoA lyase
117	E2F5	0.6483116	4.7131882	5.2563995	0.6483116	0.6483116	0.6483116	-16.735927	3.45E-02	"E2F transcription factor 5, p130-binding"
118	PTP4A2	9.5123553	11.3221581	10.7484971	6.773354	6.3402902	6.6847425	-16.722917	1.16E-03	"protein tyrosine phosphatase type IVA, member 2"
119	SPARC	12.9211476	13.011139	11.2411595	8.7075998	8.5582873	8.9633845	-16.538477	2.33E-03	"secreted protein, acidic, cysteine-rich (osteonectin)"
120	ATPIF1	6.2505069	7.6708747	7.4292802	3.6246983	3.2943327	3.3033944	-16.520396	1.06E-03	ATPase inhibitory factor 1
121	LITAF	10.5293033	11.6649147	11.0174903	6.8389606	6.9725591	7.0320785	-16.506144	2.87E-04	lipopolysaccharide-induced TNF factor
122	HBP1	4.633565	8.807227	8.713826	4.7637353	4.1077432	4.5799544	-16.489682	3.12E-02	HMG-box transcription factor 1
123	PPP6C	7.6628187	9.5234175	9.3489452	5.4818535	5.2724051	4.2930876	-16.467664	2.72E-03	"protein phosphatase 6, catalytic subunit"
124	COL1A2	13.8164714	11.9807634	11.4574042	8.1413352	7.4206208	8.6815679	-16.413186	1.80E-03	"collagen, type I, alpha 2"
125	USMG5	6.2622231	9.2402063	8.8394956	4.8039082	5.1833522	3.7371269	-16.399585	9.52E-03	up-regulated during skeletal muscle growth 5 homolog (mouse)
126	FOS	11.329564	13.0474825	13.2310951	7.7381408	8.3443048	9.2206141	-16.116661	2.08E-03	FBJ murine osteosarcoma viral oncogene homolog
127	LRRC41	10.0970481	11.1061881	10.5888601	6.5785505	6.7266863	6.1968485	-16.114747	2.96E-04	leucine rich repeat containing 41
128	LGALS3	5.3221379	9.7049122	9.1291215	5.1195263	5.0495269	5.4067395	-16.106769	3.21E-02	"lectin, galactoside-binding, soluble, 3"
129	BRD7P3	4.6466554	7.2881879	6.0374955	0.6483116	3.2836904	0.6483116	-16.049957	4.57E-03	bromodomain containing 7 pseudogene 3
130	VKORC1	6.3465215	8.1506941	6.6477649	3.6246983	2.6483116	2.6483116	-15.993938	1.47E-03	"vitamin K epoxide reductase complex, subunit 1"
131	CSTF1	4.6466554	5.403224	6.142461	0.6483116	2.3529117	0.6483116	-15.981643	1.63E-03	"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
132	C1orf43	4.524815	7.8724885	7.7884002	3.8770005	3.4673905	2.2332741	-15.950038	1.31E-02	chromosome 1 open reading frame 43
133	RPL27	8.9002544	11.8040499	11.2127852	7.307614	7.1465795	7.222257	-15.895298	8.06E-03	ribosomal protein L27
134	F3	5.9364935	8.6908692	8.2834259	4.026494	4.7007141	4.0072105	-15.891188	8.30E-03	"coagulation factor III (thromboplastin, tissue factor)"
135	FIGF	8.7630391	7.2101556	4.4253881	3.2332741	3.2332741	4.5525907	-15.745651	2.39E-02	c-fos induced growth factor (vascular endothelial growth factor D)
136	PPP1R15A	9.6895878	11.0153059	10.8411681	6.2093554	6.7665262	7.0388437	-15.741075	1.00E-03	"protein phosphatase 1, regulatory (inhibitor) subunit 15A"
137	PPP2R2A	5.9364935	8.9056685	8.4060349	4.026494	4.489526	4.4356184	-15.675249	8.71E-03	"protein phosphatase 2, regulatory subunit B, alpha"
138	ID4	5.8094592	9.1334433	6.9393202	3.4422206	2.9702397	2.9702397	-15.66074	4.16E-03	Description
139	CDKN1B	7.3666059	7.4068191	7.4713902	3.4422206	2.9702397	3.8592574	-15.612163	2.33E-04	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
140	RPS20	11.2894025	12.9448802	11.9492946	7.8906864	8.1607385	7.985591	-15.602482	7.50E-04	ribosomal protein S20
141	VASP	6.7411514	8.7419099	7.4539456	4.2727004	4.7835503	2.6483116	-15.544794	5.14E-03	vasodilator-stimulated phosphoprotein
142	LILRB3	6.3402902	8.5546779	8.1275045	4.4773665	4.1737885	2.7522541	-15.494841	4.28E-03	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"
143	RAB13	7.1765932	8.86204	8.599017	5.0929453	3.2332741	4.0072105	-15.383577	2.13E-03	"RAB13, member RAS oncogene family"
144	SC4MOL	6.8729646	9.4292512	9.2627836	5.489185	4.7910869	3.7012188	-15.34893	5.82E-03	sterol-C4-methyl oxidase-like
145	RPS18	12.0619283	14.4076533	14.0302138	9.7070445	10.3568881	10.1039675	-15.202601	5.55E-03	ribosomal protein S18
146	RPS19	7.7608698	12.4783308	11.4996958	7.3394563	7.7705013	7.57397	-15.197117	2.97E-02	ribosomal protein S19
147	GNG11	6.911337	7.1823648	6.391572	4.9718302	2.9866267	0.6483116	-15.186424	9.76E-03	"guanine nucleotide binding protein (G protein), gamma 11"
148	DCN	11.3559091	13.930185	12.0765643	8.1618289	8.0304607	8.9781975	-15.081786	3.00E-03	decorin
149	HSP90AB1	12.7465243	14.2319998	14.0950221	9.6635919	10.2743819	10.1804701	-15.079869	1.64E-03	"heat shock protein 90kDa alpha (cytosolic), class B member 1"
150	SFRS9	8.2257989	10.3605576	10.5363183	6.5177969	6.4467781	6.0359654	-15.071797	6.16E-03	No description
151	MED28	4.7342157	7.4700081	7.2980068	1.6483116	2.738957	3.5567349	-15.066508	6.93E-03	mediator complex subunit 28
152	C11orf10	10.3421402	10.3804422	10.5545664	7.2030182	6.4688957	6.1242658	-15.048487	4.97E-04	chromosome 11 open reading frame 10
153	H3F3C	8.4015186	10.6364454	9.9735704	6.7277822	5.5997591	5.8887501	-15.018441	4.38E-03	"H3 histone, family 3C"
154	PITRM1	4.3775802	6.9131391	7.4050354	2.9702397	3.5081591	2.9702397	-14.89624	1.37E-02	pitrilysin metallopeptidase 1
155	CPE	8.9581069	9.7916968	8.5632921	5.4514916	4.6779819	5.7858915	-14.777294	1.08E-03	carboxypeptidase E
156	CCNG1	6.2754012	7.6206244	7.5818623	3.2175749	3.738957	2.6483116	-14.740028	1.05E-03	cyclin G1
157	PLEKHA9	0.6483116	4.5294444	4.6321821	0.6483116	0.6483116	0.6483116	-14.734567	3.83E-02	No description
158	PSMA2	7.4729251	9.6142374	9.563085	5.7341414	5.5572173	5.1760288	-14.723982	5.50E-03	"proteasome (prosome, macropain) subunit, alpha type, 2"
159	RPL38	4.7342157	9.6959852	8.684513	4.1543752	4.8106556	5.4589794	-14.660449	3.90E-02	ribosomal protein L38
160	LDHA	9.8898812	12.2392085	11.455887	7.5836137	8.0047632	7.1457895	-14.644361	4.14E-03	lactate dehydrogenase A
161	EIF4A1	6.9545885	11.9462209	11.0640698	6.9269501	7.2022861	7.1972668	-14.588938	3.89E-02	eukaryotic translation initiation factor 4A1
162	RRP7A	4.7342157	6.8818268	5.569569	3.0232337	1.6483116	1.6483116	-14.506153	4.64E-03	ribosomal RNA processing 7 homolog A (S. cerevisiae)
163	CSRP2	4.0076061	6.6176846	5.5022972	1.6483116	1.6483116	1.6483116	-14.459899	3.82E-03	cysteine and glycine-rich protein 2
164	BET1	3.4217357	5.5020866	6.1510389	1.6483116	1.6483116	1.6483116	-14.457789	7.38E-03	blocked early in transport 1 homolog (S. cerevisiae)
165	ZMYND19	2.2332741	6.0799453	6.2840231	2.2332741	2.2332741	2.2332741	-14.386774	3.80E-02	"zinc finger, MYND-type containing 19"
166	DDOST	5.6190061	8.4439382	7.8771674	4.5998292	3.2943327	2.6483116	-14.361246	7.30E-03	dolichyl-diphosphooligosaccharide--protein glycosyltransferase
167	MAP2K4	4.8167645	6.8858443	7.127144	2.9513801	3.0432059	3.0539842	-14.346614	6.83E-03	mitogen-activated protein kinase kinase 4
168	EBPL	2.2332741	6.072203	6.1203509	2.2332741	2.2332741	2.2332741	-14.309773	3.92E-02	emopamil binding protein-like
169	PTGS2	9.6241854	10.8789248	11.1054893	5.8018418	5.8037267	7.2746521	-14.229738	1.19E-03	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
170	TSPAN13	4.2644796	6.7633265	7.1239489	2.6483116	3.2943327	2.6483116	-14.2177	1.14E-02	tetraspanin 13
171	TAC1	4.4824552	7.902807	8.1086128	3.2332741	3.2332741	4.2988923	-14.022975	1.78E-02	"tachykinin, precursor 1"
172	RAB10	6.0158381	9.2893216	9.2770618	5.3062577	5.4803855	5.3077623	-14.015352	2.27E-02	"RAB10, member RAS oncogene family"
173	LIMS1	1.6483116	6.0928761	5.4555929	1.6483116	1.6483116	1.6483116	-13.999286	3.67E-02	LIM and senescent cell antigen-like domains 1
174	ST8SIA2	6.0696142	6.8488047	4.8890582	2.2332741	3.0432059	2.2332741	-13.982969	3.90E-03	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
175	AKR1B1	4.9475095	9.0958724	9.0048341	5.2909681	3.6483116	4.0127195	-13.976239	2.20E-02	"aldo-keto reductase family 1, member B1 (aldose reductase)"
176	MSX1	10.6005146	10.6907319	9.8344167	6.0363655	6.7721484	7.7836631	-13.910007	2.88E-03	msh homeobox 1
177	IARS2	2.2332741	6.0273333	6.0321407	2.2332741	2.2332741	2.2332741	-13.87157	4.02E-02	"isoleucyl-tRNA synthetase 2, mitochondrial"
178	TFF1	5.8699723	5.9957453	6.7438973	2.201703	5.4619699	0.6483116	-13.871408	2.03E-02	trefoil factor 1
179	GBE1	5.6882233	7.3519844	7.5072568	3.7182933	3.2943327	2.6483116	-13.822661	3.27E-03	"glucan (1,4-alpha-), branching enzyme 1"
180	EFNA4	0.6483116	4.4354049	5.0531961	0.6483116	0.6483116	0.6483116	-13.804754	3.70E-02	ephrin-A4
181	AGK	0.6483116	4.4354049	4.7131882	0.6483116	0.6483116	0.6483116	-13.804754	3.85E-02	acylglycerol kinase
182	KCNMB4	6.7354317	3.1918175	4.427996	2.201703	0.6483116	0.6483116	-13.734042	1.12E-02	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"
183	C18orf32	4.0076061	6.9425176	6.5315731	3.0232337	1.6483116	2.7522541	-13.730564	1.12E-02	chromosome 18 open reading frame 32
184	KHSRP	8.7902273	10.8738151	10.2777322	6.4426145	6.7454532	6.5025027	-13.691698	3.95E-03	KH-type splicing regulatory protein
185	TIMP2	12.4015743	12.9593814	11.4279342	8.0742928	7.9579997	9.194867	-13.590385	1.72E-03	TIMP metallopeptidase inhibitor 2
186	RAB23	1.6483116	5.5022972	5.4124961	1.6483116	1.6483116	1.6483116	-13.587277	4.00E-02	"RAB23, member RAS oncogene family"
187	OLFML1	8.8454075	6.7248185	3.7018297	2.9702397	2.9702397	2.9702397	-13.497112	2.13E-02	olfactomedin-like 1
188	FUS	8.3185863	10.9166773	10.4463563	7.1646852	6.2384767	6.3644821	-13.472933	8.51E-03	fused in sarcoma
189	BMP3	5.8606947	7.6873351	7.404613	3.2175749	3.6585753	3.694379	-13.417442	3.30E-03	bone morphogenetic protein 3
