	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N105	CD44+ N171	CD44+ N174	t-value	q-value	p-value	PseudoFC
67	SIN3A	12.222974	11.787247	12.905953	6.244586	7.740604	7.748756	-1.322824336	4.35E-02	3.52E-03	-35.68378214
68	ZC3H18	8.183076	7.756763	8.063885	1.661149	6.608026	2.921909	-0.905115471	4.42E-02	1.62E-02	-35.30928419
69	SLC7A5	12.236315	13.12154	11.865388	7.748771	6.237456	7.988762	-1.305999732	4.35E-02	3.78E-03	-35.08488101
70	ZNF385A	10.734196	10.132682	11.229095	5.026959	5.353925	6.73963	-1.299184197	4.35E-02	3.95E-03	-34.43309341
71	CSF1	13.012599	12.359516	13.053461	7.30543	7.56803	7.96648	-1.473909726	4.35E-02	1.71E-03	-33.98864293
72	ST14	8.638422	11.11031	7.98402	4.341916	4.539173	2.921909	-1.232366179	4.35E-02	4.93E-03	-33.40774621
73	POM121	7.278811	7.323707	7.481604	1.661149	2.265287	3.630092	-1.269466165	4.35E-02	4.28E-03	-33.32239888
74	HPDL	7.513971	7.965391	6.282905	1.661149	2.265287	2.921909	-1.291325831	4.35E-02	4.04E-03	-32.97913878
75	PAPPA	12.906519	10.931279	10.287661	5.252045	6.373501	7.695565	-1.151081904	4.35E-02	6.84E-03	-32.79983607
76	NRBP1	12.648754	12.047164	11.901161	8.190235	6.794431	7.033813	-1.307401639	4.35E-02	3.76E-03	-32.29750587
77	CXCL1	10.920464	11.648955	11.55004	7.792994	6.549959	5.874974	-1.208205327	4.35E-02	5.46E-03	-32.00179074
78	AKT1	12.030002	11.492623	11.352169	4.718672	6.794431	7.033813	-1.363188046	4.35E-02	2.92E-03	-31.91557789
79	SLC45A4	8.55164	8.841005	8.487278	1.661149	3.571326	5.446557	-1.170956648	4.35E-02	6.40E-03	-31.5663239
80	HAPLN3	11.071298	12.143311	12.243884	7.957464	7.066159	6.106561	-1.230310392	4.35E-02	4.97E-03	-31.2273392
81	SEC61A1	13.931844	13.098107	12.46409	7.631894	8.486085	8.155622	-1.363308609	4.35E-02	2.92E-03	-30.7493823
82	HDGF	10.117927	9.276362	9.532856	4.341916	6.549959	4.476242	-1.133928581	4.35E-02	7.24E-03	-30.57849285
83	OGFOD2	7.513971	7.197097	6.670675	1.661149	2.265287	3.630092	-1.193521761	4.35E-02	5.85E-03	-30.52268767
84	BCAR1	10.266516	11.130663	10.788525	4.802615	5.857745	7.46072	-1.159990054	4.35E-02	6.62E-03	-30.50092012
85	MIIP	7.841135	7.843866	7.646315	1.661149	5.353925	2.921909	-1.034773197	4.36E-02	1.04E-02	-30.2576043
86	SHF	9.164988	9.038579	9.704647	1.661149	4.797798	4.476242	-1.332459126	4.35E-02	3.34E-03	-29.99913145
87	POLR3E	9.26756	9.686953	9.913086	1.661149	5.857745	4.790662	-1.225860926	4.35E-02	5.05E-03	-29.78040556
88	ZFPM1	7.155835	7.965391	6.601009	1.661149	2.265287	3.630092	-1.200479042	4.35E-02	5.67E-03	-29.66208903
89	EXTL3	11.92955	10.821096	9.658228	5.252045	5.936219	6.195186	-1.270357757	4.35E-02	4.26E-03	-29.54570421
90	CAPZB	14.504558	13.770854	13.621833	8.757204	9.218487	9.363984	-1.364032662	4.35E-02	2.90E-03	-29.1339417
91	PRRX2	11.472293	10.914608	12.199633	5.095353	7.740604	6.618407	-1.235962298	4.35E-02	4.88E-03	-28.91781073
92	PANK4	10.685004	10.852945	10.786565	1.661149	5.936219	7.180104	-1.193406119	4.35E-02	5.86E-03	-28.8469234
93	ELK1	8.89708	7.77165	7.250844	1.661149	5.509998	2.921909	-1.032984883	4.36E-02	1.05E-02	-28.83483774
94	SNORD36C	11.305107	12.608895	12.474479	7.771052	7.066159	6.924055	-1.31106347	4.35E-02	3.72E-03	-28.59802369
95	SETD8	11.569865	12.022481	12.134846	6.498222	7.187136	7.825039	-1.298601103	4.35E-02	3.96E-03	-28.54854148
96	ATP6V0C	13.775701	14.458412	14.410962	9.645614	9.375155	9.051056	-1.384655155	4.35E-02	2.67E-03	-28.10583583
97	CXCR7	12.246398	12.024036	10.910557	1.661149	7.25505	7.748756	-1.1813783	4.35E-02	6.15E-03	-27.2651573
98	TMBIM1	13.336931	12.66579	12.425557	8.087444	7.656894	8.287303	-1.348326147	4.35E-02	3.11E-03	-27.25902992
99	PHB2	14.446432	14.778544	14.188872	9.002943	9.722706	10.350135	-1.307973855	4.35E-02	3.75E-03	-26.42307271
100	EXT1	11.772709	12.592743	12.054033	7.25991	7.187136	7.897492	-1.318299792	4.35E-02	3.60E-03	-25.9066643
101	HSF1	11.465836	12.206993	11.055992	6.396698	6.774676	7.36177	-1.290214015	4.35E-02	4.05E-03	-25.83329037
102	S100A3	7.238972	8.319573	5.592916	1.661149	2.265287	3.630092	-1.075714839	4.35E-02	9.08E-03	-25.80324952
103	ZFP41	7.730559	6.931478	6.636262	1.661149	2.265287	3.630092	-1.175461264	4.35E-02	6.27E-03	-25.39003807
104	YTHDF2	12.815486	12.972053	12.867057	8.222933	8.385634	7.825039	-1.393479198	4.35E-02	2.50E-03	-25.0046254
105	HMOX2	11.750741	11.782661	10.825276	5.252045	7.107836	7.668215	-1.187150649	4.35E-02	6.03E-03	-24.98353047
106	PLA2G2A	1.874444	6.904719	7.746525	1.661149	2.265287	2.921909	-0.632746025	5.30E-02	3.77E-02	-24.92344671
107	TMEM222	11.735611	11.421245	10.782636	6.651882	6.78473	6.924055	-1.285803674	4.35E-02	4.12E-03	-24.87311261
108	ABLIM2	8.459303	7.303362	7.762571	1.661149	3.134528	5.634184	-0.983947884	4.36E-02	1.24E-02	-24.72747266
109	SHOX2	9.700528	8.761199	10.43761	4.894482	7.269549	4.146207	-0.978590593	4.37E-02	1.26E-02	-24.5047815
110	SLC43A3	13.900662	12.612518	11.918273	7.30543	7.440337	9.642233	-1.118954647	4.35E-02	7.62E-03	-24.46831038
111	RAB11FIP5	7.355332	6.877454	7.746525	1.661149	3.134528	2.921909	-1.26668748	4.35E-02	4.35E-03	-24.45398266
112	HHIPL1	7.980539	6.849665	6.861515	1.661149	2.265287	5.091834	-0.970941699	4.37E-02	1.29E-02	-24.18814023
113	NOL6	8.934978	10.640261	9.509275	1.661149	5.857745	6.051818	-1.089511108	4.35E-02	8.61E-03	-24.05797353
114	ADC	7.730559	9.190335	9.619106	1.661149	4.608763	6.106561	-1.014326805	4.36E-02	1.13E-02	-23.94364826
115	FOXC2	8.0045	7.711156	6.369239	1.661149	3.134528	4.476242	-1.020499187	4.36E-02	1.10E-02	-23.86175684
116	SKI	10.632154	10.695955	11.755426	4.718672	7.138979	7.180104	-1.136238445	4.35E-02	7.22E-03	-23.8401672
117	FBXL8	7.497182	6.572071	6.564874	1.661149	2.265287	2.921909	-1.239645557	4.35E-02	4.82E-03	-23.83934302
118	FHL3	10.145127	10.521976	10.47461	1.661149	6.319269	5.900694	-1.218555443	4.35E-02	5.23E-03	-23.81693238
119	ZNF384	11.156639	11.236402	11.108726	5.026959	6.774676	6.587378	-1.331186761	4.35E-02	3.37E-03	-23.74022157
120	RGS12	9.806546	10.634165	10.881463	5.252045	5.317867	7.395512	-1.111885411	4.35E-02	7.85E-03	-23.49858062
121	SEMA3B	7.595107	11.129218	10.265311	5.320955	5.306419	6.587378	-0.897269661	4.42E-02	1.66E-02	-23.29325466
122	FAM41C	8.284413	8.949732	8.525393	4.013424	3.571326	5.091834	-1.172089952	4.35E-02	6.36E-03	-22.81593236
123	FBXW5	13.284993	12.573225	11.899348	7.394225	7.440337	8.870819	-1.214274742	4.35E-02	5.33E-03	-22.70790464
124	CDK16	12.430665	12.496885	12.174366	7.995811	7.767462	7.748756	-1.350035981	4.35E-02	3.08E-03	-22.64426987
125	C11orf96	16.640765	14.974649	16.285645	10.771883	10.495739	13.322651	-1.04112008	4.36E-02	1.03E-02	-22.29903859
126	GPR133	8.332531	6.139057	7.680498	1.661149	4.131418	2.921909	-1.067957459	4.35E-02	9.31E-03	-22.28357469
127	IER3	13.331022	14.646838	14.300241	8.711848	9.841243	10.19585	-1.178994645	4.35E-02	6.20E-03	-21.99339825
128	SCAP	9.792853	9.019996	8.467835	1.661149	6.319269	4.562324	-1.058649799	4.35E-02	9.58E-03	-21.97318011
129	NSMCE1	8.294165	8.028729	6.891005	1.661149	3.571326	5.091834	-0.996689812	4.36E-02	1.20E-02	-21.96907954
130	C11orf91	7.238972	8.916627	8.974332	6.814118	2.265287	4.476242	-0.827858518	4.49E-02	2.02E-02	-21.71146222
131	ST7-AS1	7.563198	6.702075	6.564874	1.661149	3.134528	2.921909	-1.154802289	4.35E-02	6.73E-03	-21.53587326
132	PPARD	10.690553	11.500464	10.979111	1.661149	6.551443	8.03232	-1.091552864	4.35E-02	8.57E-03	-21.52092138
133	FGFRL1	9.659616	11.021236	10.309671	5.891233	6.189775	5.634184	-1.211118333	4.35E-02	5.41E-03	-21.38367043
134	LDLRAD2	6.678389	6.228068	7.156853	1.661149	2.265287	4.790662	-0.895309444	4.42E-02	1.67E-02	-21.30473308
135	CXorf65	11.739185	10.936243	10.279321	5.095353	6.774676	7.327219	-1.140229962	4.35E-02	7.15E-03	-21.2879603
136	NRN1L	6.949166	6.072636	6.704285	1.661149	2.265287	5.446557	-0.77868838	4.58E-02	2.34E-02	-21.28089657
137	IL6	12.719677	12.241491	12.728412	7.835902	8.033973	13.371702	-0.557700174	6.23E-02	5.17E-02	-21.19407333
138	LRCH4	10.870817	11.257708	11.353494	6.857154	6.373501	8.03232	-1.088113716	4.35E-02	8.68E-03	-21.12023628
139	MARS	12.507608	12.018586	10.394496	7.656039	7.53715	7.800057	-1.026758202	4.36E-02	1.07E-02	-20.57109723
140	XIRP1	5.658609	7.965391	8.903739	2.820813	2.265287	4.562324	-0.972220384	4.37E-02	1.29E-02	-20.27198211
141	PEAK1	10.288639	11.992611	12.57558	7.656039	7.68534	7.46072	-1.025388024	4.36E-02	1.08E-02	-20.20403416
142	HSD11B1	10.414694	9.542523	10.251164	1.661149	5.920411	6.73963	-1.097383211	4.35E-02	8.31E-03	-20.12272642
143	CRABP2	11.527082	14.393872	14.306583	8.566539	10.079625	9.257878	-0.962688698	4.38E-02	1.33E-02	-19.89380202
144	ZBTB7B	10.254077	10.445123	9.753639	5.448591	6.189775	5.874974	-1.222990056	4.35E-02	5.14E-03	-19.76735252
145	NPW	6.186289	7.218985	6.564874	1.661149	2.265287	2.921909	-1.181567785	4.35E-02	6.14E-03	-19.69267187
146	PDPN	9.840223	9.337675	9.400679	1.661149	7.656894	5.106393	-0.948648322	4.39E-02	1.40E-02	-19.6204415
147	REPIN1	11.479791	11.452764	10.703803	7.074163	7.187136	6.722123	-1.198428402	4.35E-02	5.73E-03	-19.59828051
148	TBRG4	11.567856	11.667979	10.493962	6.954147	6.237456	7.668215	-1.132698065	4.35E-02	7.28E-03	-19.11332195
149	FADS1	11.896318	7.843866	6.976024	1.661149	6.043524	7.640338	-0.680143431	4.95E-02	3.16E-02	-19.10635158
150	FANCB	6.52121	6.03611	6.737132	1.661149	2.265287	4.790662	-0.837544399	4.48E-02	1.96E-02	-19.10558612
151	HSPG2	10.856078	10.762679	11.299525	5.448591	6.608026	8.155622	-1.050837409	4.36E-02	9.91E-03	-19.00163023
152	TMUB1	10.857723	10.351611	9.996864	7.25991	5.509998	6.106561	-1.081510223	4.35E-02	8.88E-03	-18.96214266
153	ACCN3	7.980539	8.398425	9.035041	1.661149	4.797798	4.562324	-1.120093471	4.35E-02	7.59E-03	-18.8598055
154	SAA1	11.637507	13.081773	9.887706	7.918071	7.414086	6.455366	-1.006095589	4.36E-02	1.16E-02	-18.6799756
155	ELTD1	10.150506	9.538176	10.295954	5.320955	5.317867	8.809543	-0.795427379	4.54E-02	2.23E-02	-18.63973708
156	FLNA	13.080394	13.7137	13.244097	8.864724	8.998044	10.166824	-1.086523174	4.35E-02	8.73E-03	-18.57989161
157	BCL2L11	11.633671	11.248425	12.191507	7.42265	8.011679	6.73963	-1.166125577	4.35E-02	6.50E-03	-18.52011489
158	BRF1	10.266516	9.935252	10.334036	5.728038	6.189775	5.874974	-1.24466661	4.35E-02	4.77E-03	-18.4713131
159	SS18L2	12.426237	12.431008	12.913159	8.616619	8.220489	8.407967	-1.218312091	4.35E-02	5.24E-03	-18.45254373
160	HIVEP3	8.351337	10.311422	10.726478	7.243046	5.509998	4.146207	-0.949154065	4.39E-02	1.39E-02	-18.4446431
161	KIF1A	5.856559	8.676719	6.012527	1.661149	2.265287	2.921909	-1.083501194	4.35E-02	8.82E-03	-18.32079214
162	NXF1	13.187953	14.286857	14.48989	8.616619	10.095614	11.202466	-0.984411763	4.36E-02	1.24E-02	-18.26795942
163	SLC25A25	11.325462	11.233716	12.341256	6.396698	7.138979	8.564524	-1.078167348	4.35E-02	9.02E-03	-18.2077769
164	UCK2	6.973646	8.309406	6.83141	1.661149	4.131418	3.630092	-1.02738692	4.36E-02	1.07E-02	-18.10087642
165	KCNH3	7.155835	7.08238	6.054038	1.661149	4.131418	2.921909	-0.958595483	4.38E-02	1.35E-02	-17.88243156
166	FZD5	8.518743	9.480443	10.355354	4.341916	5.509998	6.195186	-1.029052588	4.36E-02	1.06E-02	-17.87868598
167	HLA-DRB5	11.427578	2.406905	9.952089	1.661149	7.269549	4.562324	-0.531302451	6.77E-02	5.93E-02	-17.85218186
168	DENND1A	10.475962	8.790733	8.458015	1.661149	5.857745	6.32627	-0.95622193	4.38E-02	1.36E-02	-17.74931675
169	SLC4A3	6.924263	8.943172	7.825025	2.820813	4.608763	3.676349	-1.046659297	4.36E-02	1.01E-02	-17.73682739
170	TCP11L1	9.640629	9.302226	8.562528	5.252045	5.165949	5.106393	-1.124927939	4.35E-02	7.45E-03	-17.58504269
171	AP1S1	8.922456	7.726519	6.861515	1.661149	4.608763	4.790662	-0.941857198	4.39E-02	1.43E-02	-17.53047974
172	HSD17B10	11.219408	10.964054	9.578892	5.448591	6.774676	7.218312	-1.035669627	4.36E-02	1.04E-02	-17.51235631
173	CRISPLD2	14.783358	14.269426	14.861804	7.394225	10.66245	12.877926	-0.895320384	4.42E-02	1.67E-02	-17.3987106
174	SOX8	5.779429	6.391145	8.981205	1.661149	4.539173	3.630092	-0.833637233	4.48E-02	1.98E-02	-17.36704887
175	FAM180A	5.779429	6.502398	7.4423	1.661149	2.265287	4.562324	-0.884246506	4.42E-02	1.73E-02	-17.36704887
176	ALDOA	14.676022	14.551526	13.910595	9.799885	9.939008	10.558174	-1.201834655	4.35E-02	5.57E-03	-17.36183889
177	GPRIN1	6.381847	6.792427	6.031658	1.661149	2.265287	3.630092	-1.00821412	4.36E-02	1.15E-02	-17.34634806
178	CIB2	9.470427	9.173617	10.166259	1.661149	5.353925	6.32627	-1.101744465	4.35E-02	8.15E-03	-17.34565645
179	ATP6V0B	12.871118	12.069927	12.61754	7.957464	8.296229	9.133378	-1.111261559	4.35E-02	7.86E-03	-17.29715697
180	LOC729603	9.217186	8.417483	8.467835	1.661149	4.539173	5.106393	-1.139947577	4.35E-02	7.17E-03	-17.27713913
181	TRAF7	11.503105	11.300684	10.459924	6.183122	7.191402	7.800057	-1.060864469	4.35E-02	9.51E-03	-17.25905194
182	UBE2MP1	10.88056	10.664394	5.018694	5.743334	6.774676	6.195186	-0.50605168	7.43E-02	6.82E-02	-17.21846145
183	FBXO10	8.224469	7.952383	8.571664	1.661149	4.131418	5.106393	-1.081182402	4.35E-02	8.91E-03	-17.06596987
184	SAP25	7.968408	8.147628	9.945076	1.661149	5.857745	4.790662	-0.988406832	4.36E-02	1.22E-02	-16.99845029
185	B4GALT2	9.961469	10.243628	9.485302	4.718672	6.608026	5.874974	-1.089244207	4.35E-02	8.62E-03	-16.98860911
186	SLC29A1	11.453921	11.803637	10.857383	7.976765	6.774676	7.327219	-1.092361129	4.35E-02	8.51E-03	-16.94405603
187	MID1IP1	8.691047	8.473191	9.061224	1.661149	4.608763	5.106393	-1.146362147	4.35E-02	6.94E-03	-16.93907577
188	RRP9	8.884223	10.046553	8.685452	4.802615	4.608763	5.446557	-1.142206242	4.35E-02	7.04E-03	-16.9311492
189	ANAPC1	10.145127	10.094707	10.120301	4.894482	7.066159	6.051818	-1.0672441	4.35E-02	9.34E-03	-16.77781072
190	RIPK1	10.305614	9.564062	9.118454	4.718672	6.237456	5.580533	-1.095481392	4.35E-02	8.39E-03	-16.77404198
191	C1orf51	9.4134	10.124007	10.10465	4.894482	6.043524	6.924055	-1.01690307	4.36E-02	1.12E-02	-16.69247905
192	PIEZO1	10.264036	10.701797	10.804114	6.651882	7.094585	6.129407	-1.115733968	4.35E-02	7.72E-03	-16.56325923
193	CTPS	10.112425	10.235597	9.421041	6.063041	5.306419	7.291822	-0.959060726	4.38E-02	1.34E-02	-16.55716654
194	DAXX	12.180223	12.596406	12.270078	8.139755	8.140553	8.549611	-1.192434448	4.35E-02	5.90E-03	-16.52748781
195	TSG101	12.904531	11.620455	10.577971	7.582358	7.91889	7.36177	-1.040524424	4.36E-02	1.03E-02	-16.42813514
196	REXO4	8.183076	8.288855	6.012527	1.661149	7.107836	4.146207	-0.641884838	5.20E-02	3.63E-02	-16.41415912
197	KDM2A	12.44003	11.907548	12.304737	7.631894	8.277663	8.771488	-1.109797134	4.35E-02	7.92E-03	-16.30309268
198	UBASH3B	7.595107	9.874484	10.629191	5.026959	5.857745	6.195186	-0.873508987	4.43E-02	1.77E-02	-16.18672861
199	ANKRD11	12.126645	12.491837	12.328512	7.607339	8.314558	9.454835	-1.020984919	4.36E-02	1.10E-02	-16.15549982
200	MRTO4	11.057048	11.705291	10.557423	7.210813	6.549959	7.152205	-1.14156161	4.35E-02	7.07E-03	-16.08299318
201	RAI14	10.380769	10.59075	9.155384	4.894482	6.373501	6.722123	-1.025216116	4.36E-02	1.08E-02	-16.08080906
202	MFSD10	11.641333	11.904174	10.813772	7.450526	7.56803	7.897492	-1.064358609	4.35E-02	9.41E-03	-16.07428577
203	GPATCH3	8.831618	8.535576	8.050877	1.661149	4.539173	5.634184	-1.020827228	4.36E-02	1.10E-02	-15.9601516
204	ACSL4	9.927407	9.555485	9.405796	5.579836	5.936219	3.630092	-1.156094605	4.35E-02	6.71E-03	-15.90256621
205	ZNF219	9.296962	9.555485	8.726933	4.739845	6.373501	5.106393	-1.001427809	4.36E-02	1.18E-02	-15.85743752
206	HIP1R	9.886086	11.882049	11.102436	6.395481	6.043524	7.897492	-1.03372532	4.36E-02	1.04E-02	-15.82965244
207	EIF4G1	10.177104	10.293481	9.390389	5.743334	6.237456	6.195186	-1.096020408	4.35E-02	8.36E-03	-15.80072094
208	RBM15B	10.398961	10.012489	9.86187	6.252746	6.189775	5.882028	-1.162640786	4.35E-02	6.55E-03	-15.77800333
209	DDR2	10.622509	9.489477	8.534767	1.661149	5.509998	6.942983	-0.985088969	4.36E-02	1.24E-02	-15.77402551
