gene	avg_log2FC
HTRA1	1.280747606
RCAN1	0.92171927
PKIG	0.805545922
CTSH	1.251720829
ARHGEF7	0.885396966
CASQ2	0.693167052
ID1	1.064065649
MAP3K8	0.71932219
CD48	1.241180675
MRGPRF	0.791314282
BLOC1S1	0.766339262
RGD1559896	0.682118373
CD81	0.800445361
PDLIM1	0.803182196
GUCY1A1	0.996900788
TESC	0.724953993
CRY2	0.800524853
ITM2A	0.905536078
RHOJ	1.000254184
GPX3	0.916138807
CTSK	1.188246008
ADCY3	0.671922979
CSPG4	0.707672479
RAMP2	0.87744992
GUCY1B1	0.675227361
ANGPT2	0.651720586
AMIGO2	0.791715731
COL4A4	0.875375441
SORT1	0.772226789
SLIT3	0.761199531
ATP1B2	0.619772752
BMP2	0.672042507
ARPC1B	0.839516153
PLA2G16	0.925770153
TUBB2A	0.984098723
C1QTNF2	0.671955577
DLC1	0.919296492
SPINK8	0.695540607
ZEB2	1.166069178
EBF1	0.778103325
ECM1	0.685333408
TPPP3	0.816314017
CYGB	0.597389908
MTFR1L	0.595962204
LOXL1	0.812558298
PRRX1	0.73394749
NTRK2	0.763251352
INSIG1	0.761527158
KANK2	0.64549501
CDC42EP2	0.553177861
EGFLAM	0.69620882
CYB5A	0.739118659
ID2	0.85671399
LOC689574	0.80647993
TIFA	0.793051207
MNDA	0.710919926
SERF2	0.708575806
VCAM1	0.919387593
KLF9	0.654720746
NEWGENE-1308171	0.600942099
LOC100909595	0.564845068
44078	0.61858306
ANXA5	1.001794068
ARL6IP5	0.586149905
EDNRB	0.741943698
ZEB1	0.75280608
FKBP1A	0.665700986
ESD	0.55989015
PDGFRB	0.780435181
IER5	0.71042211
SULT1A1	0.85584454
EHD2	0.655077491
VKORC1	0.747133338
PTGIR	0.567529069
ABI3BP	1.260366031
CALM1	0.771751808
ARHGDIB	0.523368333
HRC	0.61339004
PAM	0.635228757
ARL4A	0.83161737
SDHAF1	0.57135401
CORO1C	0.537166788
ITIH3	0.528361947
ST3GAL4	0.515902962
COL5A3	1.341391256
NR2F2	0.678102823
TGFBI	0.833667436
COL6A1	1.108642301
C1QTNF7	0.546407361
SLC22A3	0.540680769
SLFN5	0.844734873
CALCRL	0.68016884
NUCB2	0.681270584
MFAP2	0.692491039
NDRG1	0.559838223
THBS2	0.55002667
SLC48A1	0.510644805
CD248	0.512807471
SLC9A3R2	0.540017038
TP53I11	0.492935006
DGKB	0.579662549
TWIST1	0.667827253
FRY	0.498457484
HIP1	0.612103383
TMEM109	0.498054971
KCNAB1	0.47760591
LDB3	0.465804073
ZFHX3	0.715060216
NRP1	0.784846454
LTBP1	0.759648218
TENT5A	0.818520667
PLAGL1	0.86701725
PPARG	0.464395264
CREB3L1	0.632792493
LAMA2	0.940077532
MID1IP1	0.430437917
DDT	0.52519284
CPED1	0.694501063
GRINA	0.55653099
EFEMP1	0.755647395
KLF4	0.540480358
LOXL2	0.512799527
IGF1	0.853826374
SCPEP1	0.674705629
PEA15	0.497742935
TRIM47	0.412963099
MARK1	0.541170087
CPQ	0.455412781
TRARG1	0.402977125
CCS	0.423496005
PLAU	0.574974435
ADCY5	0.386161163
TTLL7	0.426154161
PDE3A	0.455598647
DAPK3	0.425597397
LDB2	0.584458047
SGCE	0.477931868
RCSD1	0.430383912
HTRA3	0.425628002
RCN3	0.382712017
LXN	0.412445922
P4HA2	0.416178615
PRDM1	0.41147328
LAMA4	0.627846681
FXYD5	0.470785739
PLCB4	0.553236385
LMO2	0.419637299
SPON2	0.8013767
44082	0.514228773
C1QTNF5	0.456485905
GDA	0.644033785
FARP1	0.405128383
CADM3	0.544607342
OLFML3	0.471383794
CILP	0.415509589
EHD4	0.583590827
FZD4	0.439322684
RFTN1	0.388715532
LYSMD2	0.439824953
GPC3	0.393980634
COL5A1	0.786890507
AKAP6	0.389611586
TAX1BP3	0.434110688
OLFML1	0.458577118
MEOX2	0.354691045
CSK	0.336396339
PLCE1	0.417904661
COL15A1	0.591170667
CYTH3	0.361626213
CNDP2	0.383226108
NEURL3	0.384334361
EFHD1	0.332706263
TIMM13	0.379221275
CLEC3B	0.824810712
CD320	0.459840505
STN1	0.346074133
GKAP1	0.424252295
GRB10	0.316272628
ELL2	0.324344253
PRDM16	0.365892054
RELL1	0.519277729
DOT1L	0.502816185
TCF4	0.572161807
SLC35E4	0.306550934
BCAR3	0.30189044
PRRX2	0.34876272
DOCK8	0.320603604
TFPI	0.347637643
ADD3	0.644349062
GBP2	0.328622212
CLMP	0.422808829
ZBTB16	0.356761359
SHOX2	0.355351192
HOXC8	0.289060746
GSTO1	0.436151192
SLC1A5	0.357670855
MAP1A	0.402460985
FGF7	0.308784783
CAP2	0.289152013
NPDC1	0.283796365
RGCC	0.583319592
REM1	0.316292973
PREX2	0.569916022
SBSPON	0.323790723
INPP4B	0.298126154
ARHGAP10	0.487349304
DENND5A	0.308971151
PDGFRA	0.703428551
MYOCD	0.387713846
PDRG1	0.303249798
LOC684797	0.487483929
ADAMTS12	0.56307225
PCDH19	0.373974039
TAGLN2	0.433977613
CPXM2	0.294375702
TPST1	0.278001669
SIPA1L2	0.262511168
LHFPL2	0.550457488
B4GALT1	0.281326224
ITGA5	0.297697467
FABP5	0.233859937
LOC499235	0.016619679
TPM4	0.094849143
LGALS3	0.431080484
