	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N152	CD44+ N161	CD44+ N172	t-value	q-value	p-value	PseudoFC
64	RPL37	7.4971815	8.5953745	8.7350882	14.5925156	15.5655105	15.3421906	1.623480945	4.96E-02	1.59E-03	113.8051711
65	CSDA	4.2634629	2.406905	3.9352215	10.7572945	10.4975743	10.8604176	1.653217538	4.96E-02	1.43E-03	113.1484488
66	RPL22L1	3.0245043	2.0230478	2.1654208	9.4969685	9.8132173	8.1057709	1.542645885	4.96E-02	2.01E-03	110.5620909
67	CRIM1	2.993831	4.3513152	2.3793449	8.9446225	9.7758097	11.2349287	1.452682565	4.96E-02	2.59E-03	110.0472041
68	TSPYL4	3.0245043	2.0230478	2.9956812	9.1717924	9.802628	9.1358635	1.612298722	4.96E-02	1.64E-03	109.7535432
69	ESD	2.993831	2.0230478	3.7641245	9.6644958	9.7539902	10.4708877	1.628935008	4.96E-02	1.54E-03	108.3953599
70	FAM162A	3.0245043	2.0230478	2.1654208	9.1021356	8.1852726	9.7695234	1.534570789	4.96E-02	2.02E-03	107.2637724
71	VPS29	1.8744435	2.0230478	2.1654208	8.7677808	5.6724615	9.6076956	1.210057074	4.98E-02	5.22E-03	107.242504
72	LMBRD1	1.8744435	2.8096013	2.3793449	9.0559909	8.3971729	9.62472	1.588188941	4.96E-02	1.76E-03	102.2988435
73	C2orf40	4.2098819	6.4662577	3.9083598	9.042531	12.0792909	13.1101869	1.25502942	4.96E-02	4.55E-03	100.0050568
74	SNCA	1.8744435	3.3213504	2.1654208	8.8081111	8.5186068	9.5194229	1.514903647	4.96E-02	2.14E-03	99.91921443
75	HSPA2	2.2016907	2.0230478	2.1654208	8.792114	9.3866756	8.1996456	1.624362497	4.96E-02	1.58E-03	98.81739776
76	RCN2	1.8744435	2.0230478	2.1654208	9.7865924	7.9173057	8.6456318	1.570698655	4.96E-02	1.86E-03	98.53634008
77	7-Mar	1.8744435	2.0230478	2.9956812	9.0221027	8.9985279	8.4683738	1.573906313	4.96E-02	1.83E-03	96.59859584
78	PDE5A	3.3509967	2.0230478	2.9956812	7.7378191	9.585084	10.7866977	1.392211273	4.96E-02	3.07E-03	96.29592213
79	GAS1	3.8197323	2.0230478	2.9956812	11.211266	9.1975554	8.5597232	1.425320668	4.96E-02	2.84E-03	92.84004774
80	CENPH	4.7435639	3.7709946	2.1654208	9.8342407	11.2482856	10.1089703	1.479198037	4.96E-02	2.43E-03	90.806377
81	TMEM66	3.8197323	3.7709946	4.5083337	11.4273358	10.2743512	10.2906199	1.577099619	4.96E-02	1.82E-03	90.72049693
82	LETMD1	1.8744435	2.0230478	2.1654208	8.0915413	8.5186068	9.2717591	1.607427252	4.96E-02	1.66E-03	90.23148577
83	LOC572558	1.8744435	2.0230478	2.1654208	6.0805901	8.5186068	9.32481	1.257747329	4.96E-02	4.50E-03	90.23148577
84	LGALS3	4.963444	4.9115166	5.7236017	12.5593915	11.2715091	11.4579213	1.549891724	4.96E-02	1.97E-03	90.16385704
85	ARL5B	1.8744435	2.0230478	4.7244061	10.0680992	11.2087291	8.2662493	1.390198804	4.96E-02	3.08E-03	89.53147488
86	C9orf16	3.0245043	4.7507076	3.3243747	11.0954589	9.8079324	9.6989376	1.460560392	4.96E-02	2.53E-03	89.4839902
87	TXN	4.7435639	4.3899364	4.7244061	11.0440392	10.9550811	11.2210025	1.657574944	4.96E-02	1.40E-03	89.10525649
88	KLHL20	1.8744435	2.0230478	2.3793449	9.8264078	7.4590463	8.4871122	1.458277395	4.96E-02	2.56E-03	88.28304195
89	SSBP2	2.2016907	2.0230478	2.3793449	8.2046286	8.6425333	9.9957527	1.567587513	4.96E-02	1.86E-03	86.87340126
90	OTUD1	3.3509967	2.0230478	4.2859964	9.7825497	8.6306088	10.2852763	1.387472669	4.96E-02	3.11E-03	86.31581609
91	FRA10AC1	3.0245043	2.0230478	2.1654208	8.5848861	8.4524089	9.5991074	1.529397684	4.96E-02	2.06E-03	86.18477383
92	CPE	5.6586086	4.3513152	6.0316576	13.1100097	10.7799116	11.6447709	1.411164363	4.96E-02	2.96E-03	86.13910109
93	NDUFS4	4.2098819	2.0230478	2.1654208	8.8473445	8.9320699	8.4493889	1.32764682	4.96E-02	3.64E-03	86.00454975
94	RHOBTB2	1.8744435	2.0230478	2.1654208	6.3662802	9.1975554	8.4493889	1.299050496	4.96E-02	3.93E-03	86.00454975
95	HOXD8	1.8744435	2.0230478	2.3793449	6.2304884	8.9609276	8.4493889	1.256597584	4.96E-02	4.52E-03	86.00454975
96	ATPIF1	3.0245043	2.0230478	2.3793449	9.4416416	8.2645713	8.8905079	1.520079762	4.96E-02	2.12E-03	85.457625
97	EXTL2	1.8744435	2.0230478	2.1654208	8.2868394	8.5694617	8.4683738	1.657927005	4.96E-02	1.39E-03	85.17722749
98	TGFBI	6.3818471	5.1480825	6.7692467	11.5888403	12.5511867	13.1715722	1.431778936	4.96E-02	2.79E-03	84.5847424
99	C8orf59	3.8399484	3.3213504	2.1654208	9.2789856	10.0819703	9.6746202	1.527350527	4.96E-02	2.09E-03	81.75696807
100	DDOST	4.6394091	3.3213504	2.1654208	10.5278012	8.5186068	10.2959438	1.359787432	4.96E-02	3.35E-03	81.75222065
101	CPNE3	4.309025	3.8720139	2.1654208	8.6661239	8.8104958	10.652022	1.269435444	4.96E-02	4.31E-03	81.17688147
102	LDB3	3.0245043	5.297868	2.1654208	8.7093547	9.3652474	9.8072951	1.222646743	4.96E-02	5.03E-03	81.05015516
103	IKBIP	4.309025	2.0230478	2.1654208	8.3860905	8.492491	9.62472	1.306551712	4.96E-02	3.87E-03	80.2856462
104	PA2G4	1.8744435	2.0230478	2.1654208	8.3206874	7.89754	9.0502468	1.560754558	4.96E-02	1.91E-03	78.66443444
105	NNMT	4.6394091	5.4346801	3.7641245	11.7129846	9.0169669	11.0329417	1.272026986	4.96E-02	4.26E-03	77.61720445
106	RAB13	5.4911209	3.3213504	2.9956812	10.2893675	9.3214118	9.5991074	1.263967871	4.96E-02	4.41E-03	77.58775101
107	COX4I1	5.3162271	4.8079702	5.7236017	11.2157704	11.5936364	11.7298405	1.534205737	4.96E-02	2.05E-03	77.5690528
108	MFF	3.0245043	2.0230478	3.3243747	8.90798	9.5973894	9.2932141	1.543301563	4.96E-02	2.00E-03	77.33312988
109	ARID4A	4.309025	2.406905	3.9083598	10.6459942	8.6777266	9.9150162	1.357625431	4.96E-02	3.37E-03	77.21566241
110	TSPAN8	1.8744435	2.0230478	2.1654208	8.1428995	8.1355133	8.6948242	1.592514075	4.96E-02	1.73E-03	76.69548921
111	NFYC	3.0245043	2.406905	3.9352215	9.2847135	6.9843361	10.4614424	1.18893642	4.98E-02	5.53E-03	76.64975075
112	PSMA5	4.2634629	2.0230478	2.1654208	9.2499997	8.2799211	8.8476482	1.318513484	4.96E-02	3.74E-03	76.47272106
113	PDGFD	1.8744435	2.0230478	2.1654208	8.1174489	8.618585	8.1534715	1.594099673	4.96E-02	1.72E-03	75.74114718
114	RPL7	7.7305591	8.0774702	8.1395596	12.8629666	14.320031	14.4021203	1.3766417	4.96E-02	3.20E-03	75.71781413
115	GUCY1A3	3.8399484	2.8096013	2.1654208	6.7105675	10.0731862	9.9492072	1.204465435	4.98E-02	5.32E-03	75.23008478
116	TUBA1B	5.8972917	6.0361098	5.5929159	11.3651676	12.2643101	12.1278212	1.495452473	4.96E-02	2.26E-03	74.96786098
117	FBXL5	2.993831	2.0230478	2.1654208	9.1779611	8.2799211	8.3908876	1.492505724	4.96E-02	2.29E-03	74.82594796
118	WBP5	2.993831	4.7507076	3.9352215	10.3777739	10.1036991	10.1507065	1.479710635	4.96E-02	2.41E-03	74.31002586
119	NCSTN	4.2634629	2.0230478	2.9956812	10.6548673	7.89754	9.2054107	1.287900928	4.96E-02	4.05E-03	74.01416522
120	CDKN1B	3.0245043	2.8096013	3.3243747	9.2323245	9.63965	7.277042	1.258808243	4.96E-02	4.49E-03	73.91627559
121	EIF2B1	1.8744435	2.0230478	2.1654208	8.2166637	8.2014848	8.3708479	1.619324424	4.96E-02	1.61E-03	73.79376795
122	CSRP2	2.993831	2.0230478	2.1654208	6.7770801	8.6306088	9.1940499	1.277513525	4.96E-02	4.15E-03	73.52784755
123	MYEOV2	1.8744435	2.0230478	2.1654208	8.4486569	8.0305306	8.2221901	1.59222937	4.96E-02	1.74E-03	73.47300304
124	MDP1	1.8744435	2.0230478	2.1654208	6.7770801	8.5186068	8.2221901	1.353328829	4.96E-02	3.41E-03	73.47300304
125	AKR1D1	2.993831	3.7709946	3.9352215	9.1902202	10.5332397	9.5011013	1.451592365	4.96E-02	2.63E-03	73.33292309
126	SUMO1P3	3.0245043	2.0230478	2.9956812	9.2204195	8.7233541	8.7579092	1.509272512	4.96E-02	2.17E-03	73.3088369
127	OSGEP	2.2016907	2.0230478	3.3243747	6.4501951	9.4826695	8.3908876	1.181992672	4.99E-02	5.70E-03	71.42190958
128	RAB6C	1.8744435	2.8096013	2.1654208	8.9661695	8.9609276	7.0438915	1.356873329	4.96E-02	3.38E-03	71.33648369
129	TUBA1A	4.963444	5.8096013	4.9444683	11.0905621	11.9316049	11.5610175	1.522741496	4.96E-02	2.10E-03	70.82043701
130	ZMYM6NB	4.2634629	2.0230478	2.1654208	8.167909	8.492491	9.1119156	1.27444784	4.96E-02	4.21E-03	70.7599515
131	SEPP1	4.2634629	4.7507076	5.2176156	12.5605724	10.8739517	10.2307226	1.438843966	4.96E-02	2.77E-03	69.7076022
132	SRP9	6.0082059	4.3513152	4.7244061	10.4886329	10.8276977	10.964382	1.340519984	4.96E-02	3.51E-03	68.75018272
133	TMEM173	2.2016907	3.3213504	2.3793449	8.2868394	8.3543123	10.2582573	1.410807276	4.96E-02	2.97E-03	67.89101196
134	SMARCD3	3.8399484	2.0230478	2.1654208	8.7093547	9.5411694	8.1057709	1.366321237	4.96E-02	3.27E-03	67.77696173
135	TMEM14C	3.8399484	2.406905	2.9956812	8.9873994	9.0709107	9.2278676	1.440060555	4.96E-02	2.74E-03	67.42583117
136	HNRPDL	5.3354128	5.6616851	5.7236017	11.7298786	12.0073369	9.0875635	1.143832093	5.00E-02	6.50E-03	67.09779763
137	DKK3	2.2016907	3.360637	2.3793449	5.3405168	8.4250552	10.0784017	1.021508686	5.34E-02	9.91E-03	66.06024177
138	LSM6	1.8744435	2.406905	2.1654208	7.7210195	9.2530552	8.1996456	1.474758131	4.96E-02	2.45E-03	65.53641157
139	UBE2NL	1.8744435	3.3213504	3.7641245	8.3094927	9.7919604	8.4106527	1.300373059	4.96E-02	3.92E-03	65.24682953
140	SNX17	3.8399484	2.8096013	2.9956812	9.0221027	8.4111814	10.3785579	1.37096864	4.96E-02	3.24E-03	65.18289308
141	SYNPO2	6.0999914	3.7709946	3.9352215	8.0517861	10.4677231	12.123336	1.088683463	5.11E-02	7.88E-03	65.04402637
142	EIF3M	1.8744435	4.8304956	2.3793449	8.5376958	9.2989842	7.8974394	1.167538131	4.99E-02	6.05E-03	65.02830438
143	ARPC2	5.2636993	3.8720139	3.3243747	10.3091746	10.7192716	9.3454959	1.338497886	4.96E-02	3.52E-03	64.94385735
144	MAGEB10	3.0245043	2.0230478	2.1654208	8.0382872	8.6892694	8.7108559	1.468276533	4.96E-02	2.50E-03	64.67962353
145	LOC401397	3.8399484	2.0230478	2.1654208	8.0382872	8.2951094	8.5238744	1.288154681	4.96E-02	4.05E-03	64.67962353
146	SFRP2	3.8399484	2.8096013	4.7244061	11.9249666	9.8496795	7.0438915	1.102664421	5.06E-02	7.50E-03	64.43314203
147	CCNI	7.2590288	5.1480825	6.4897707	13.2138577	12.0715935	12.4937102	1.412509957	4.96E-02	2.94E-03	64.1749969
148	CPZ	2.993831	2.8096013	3.9352215	9.3407758	8.3397377	9.92879	1.374128252	4.96E-02	3.22E-03	63.71532184
149	F10	2.2016907	4.3513152	3.3243747	7.8958605	9.3064989	11.1344986	1.26110697	4.96E-02	4.44E-03	63.21189527
150	PPP1CA	3.8399484	2.0230478	2.1654208	8.3317959	7.9937674	8.7423946	1.297655189	4.96E-02	3.95E-03	62.71417303
151	C4orf43	2.2016907	2.0230478	2.1654208	7.6158948	8.1355133	8.9725869	1.471272756	4.96E-02	2.47E-03	62.6869192
152	PLRG1	2.2016907	3.7709946	2.3793449	8.6033384	8.1688761	9.0375903	1.349951005	4.96E-02	3.43E-03	62.56072818
153	PTP4A3	4.2098819	5.4346801	3.9083598	7.335969	11.3947214	10.7522537	1.04157703	5.22E-02	9.27E-03	62.25169979
154	BPHL	1.8744435	2.0230478	2.1654208	7.9829919	9.9869572	7.6203219	1.447922215	4.96E-02	2.65E-03	62.2475057
155	RNF130	2.993831	2.406905	4.2859964	10.1425368	7.4040744	10.2417996	1.247274884	4.96E-02	4.65E-03	62.06909417
156	C10orf116	6.0082059	7.1970971	6.9199049	9.906606	12.8698722	14.2454979	1.107755293	5.06E-02	7.33E-03	61.81852322
157	PABPC1	8.3134756	8.2991672	8.2910567	13.8826068	14.248684	14.6961651	1.497341339	4.96E-02	2.22E-03	61.79922223
158	YBX1	5.0569476	4.7507076	5.3892653	10.4560066	11.0044304	11.671642	1.439984097	4.96E-02	2.75E-03	61.71215431
159	TMEM200B	1.8744435	2.0230478	3.9083598	8.0109044	7.8156527	8.577319	1.243826297	4.96E-02	4.69E-03	61.4443822
160	SCARB2	4.963444	4.4133226	4.5083337	11.1545241	9.0531526	10.4423642	1.271590944	4.96E-02	4.27E-03	61.13940004
161	COMMD3	1.8744435	2.0230478	2.1654208	6.2771857	7.956043	8.6948242	1.256251288	4.96E-02	4.53E-03	61.09554124
162	TTC37	3.3509967	3.3213504	2.3793449	9.1779611	9.2838364	8.350526	1.413153818	4.96E-02	2.92E-03	61.08895858
163	LOC100130992	1.8744435	2.0230478	2.9956812	4.5400907	8.2014848	8.9183896	0.954763991	5.85E-02	1.30E-02	60.66146213
164	GTF3A	1.8744435	2.0230478	2.1654208	7.5790795	8.0839766	8.0813159	1.494946165	4.96E-02	2.27E-03	60.48710739
165	C13orf15	3.8399484	3.7709946	3.3243747	9.6732562	9.7812134	8.2221901	1.302997066	4.96E-02	3.88E-03	59.80779534
166	NUP133	2.2016907	2.0230478	2.1654208	6.9599943	8.0663803	8.6456318	1.354719271	4.96E-02	3.39E-03	59.75383871
167	DLC1	1.8744435	2.8096013	4.2859964	11.1164882	7.7062919	8.6948242	1.239666427	4.96E-02	4.72E-03	59.10560221
168	KAZALD1	1.8744435	2.0230478	4.7549172	7.7544253	8.5314896	8.985824	1.164353572	4.99E-02	6.10E-03	58.89126673
169	AGR2	1.8744435	2.0230478	2.1654208	7.8808129	6.9463683	8.6118796	1.36474802	4.96E-02	3.28E-03	57.99132181
170	PPIG	5.7794294	4.8079702	4.5083337	11.6764143	8.3971729	10.664424	1.086854253	5.11E-02	7.95E-03	57.9386355
171	PDGFRL	1.8744435	2.0230478	3.7641245	9.6198778	7.7288372	7.925186	1.273968839	4.96E-02	4.22E-03	57.9105084
172	SUMF1	1.8744435	3.360637	2.1654208	9.0289443	8.0122661	7.8108476	1.338681832	4.96E-02	3.52E-03	57.55403893
173	MYH11	2.993831	4.3899364	2.1654208	8.5472581	10.7471516	8.0053615	1.228827781	4.96E-02	4.92E-03	57.27924846
174	CHTOP	4.815804	2.0230478	2.9956812	8.4281014	8.831483	10.0722095	1.238000448	4.96E-02	4.75E-03	57.11515586
175	APOF	1.8744435	2.0230478	2.1654208	5.7241063	8.1688761	7.8402926	1.154242557	4.99E-02	6.34E-03	56.38520863
176	DNAJC1	1.8744435	2.406905	2.9956812	8.2166637	6.5504789	8.9592273	1.208497727	4.98E-02	5.26E-03	56.09338511
177	RAB9A	3.3509967	2.406905	2.1654208	8.2166637	6.4455364	9.2609108	1.146298538	5.00E-02	6.45E-03	56.09338511
178	TMEM9	2.2016907	3.3213504	3.3243747	9.1278561	7.7728978	10.652022	1.336139445	4.96E-02	3.56E-03	55.96704725
179	ISCU	4.963444	3.7709946	4.5083337	10.3091746	7.9173057	11.016911	1.121704249	5.03E-02	6.93E-03	55.74772078
180	CIR1	3.3509967	3.3213504	3.7641245	9.9648504	9.1482234	8.6786124	1.391702504	4.96E-02	3.08E-03	55.60823767
181	PCBP1	6.0999914	5.4876732	6.0560619	11.5237292	11.7765588	11.8933076	1.469786481	4.96E-02	2.48E-03	55.45771505
182	SCOC	2.2016907	2.406905	2.3793449	8.1924923	6.2722716	8.1767432	1.187092333	4.99E-02	5.58E-03	55.16140473
183	SERPINB1	2.2016907	3.360637	2.1654208	8.2404369	8.9609276	7.925186	1.363712477	4.96E-02	3.29E-03	54.1828797
184	ANGPT1	1.8744435	2.0230478	2.1654208	6.4501951	9.0260988	7.7807893	1.272721237	4.96E-02	4.25E-03	54.10692909
185	RRAD	5.0569476	2.8096013	4.7244061	8.2046286	10.4777423	11.4507791	1.182597163	4.99E-02	5.67E-03	53.9419662
186	TXNIP	6.7078705	4.7507076	6.564874	12.3547449	10.8013455	12.2913492	1.272637775	4.96E-02	4.25E-03	52.94693365
187	RPS20	8.2941654	8.5442716	8.4481275	13.4266559	14.1723395	14.6373499	1.373057483	4.96E-02	3.24E-03	52.86393774
188	FTO	5.3354128	2.8096013	2.9956812	8.4889095	10.1711108	9.6162329	1.213656157	4.96E-02	5.15E-03	51.24389687
189	TAF7	4.6820765	3.7709946	2.1654208	9.6107862	9.4491144	8.0564393	1.185041995	4.99E-02	5.61E-03	51.20170184
190	JPH4	3.0245043	2.0230478	2.1654208	7.0702087	8.7007207	8.3908876	1.300400867	4.96E-02	3.91E-03	51.1341912
191	SDPR	2.2016907	2.0230478	2.1654208	6.0269554	9.0351732	7.8402926	1.188535221	4.98E-02	5.53E-03	51.08655784
192	MINOS1	5.0569476	3.8720139	4.4498938	9.535914	9.5973894	10.8129303	1.28631585	4.96E-02	4.07E-03	50.69951751
193	ZNF32	4.6394091	3.8720139	2.1654208	7.4827092	9.5347853	10.3735309	1.141081302	5.00E-02	6.56E-03	50.65987046
194	PCOLCE	4.2098819	5.4346801	6.6010094	11.0970874	10.3562848	11.595968	1.235550224	4.96E-02	4.81E-03	50.64708585
195	PLS3	2.2016907	3.8720139	2.3793449	7.9107527	7.8571772	10.7050105	1.24253936	4.96E-02	4.70E-03	50.40470395
196	LSM3	5.3044627	2.8096013	3.3243747	8.5183788	8.9798503	9.0752315	1.112589744	5.04E-02	7.21E-03	50.40432222
197	NGRN	3.3509967	3.8720139	2.9956812	9.5262757	7.4857665	9.5011013	1.213165485	4.96E-02	5.17E-03	50.36193654
198	ZFP2	1.8744435	2.0230478	2.1654208	6.2304884	7.6601162	8.5056104	1.230649539	4.96E-02	4.88E-03	49.76530678
199	PFDN5	6.6175557	6.4291897	7.1568531	11.3932764	12.2604461	12.7748773	1.283686576	4.96E-02	4.10E-03	49.11269646
