	Gene Symbol	CD44+ N48	CD44+ N58	CD44+ N43	CD44+ N37	CD44+ N39	CD44+ N40	PseudoFC	P value	Gene description
27	QRSL1	5.430681	4.5005948	5.4850816	9.3997399	9.941233	9.5128907	21.950036	1.65E-04	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
28	PTPN23	7.6908592	6.8720279	8.2428587	12.2216932	12.1420561	11.2668678	21.03675	5.51E-04	"protein tyrosine phosphatase, non-receptor type 23"
29	ZIK1	0.6483116	0.6483116	0.6483116	5.0350598	5.1955368	3.3505197	20.91909	1.60E-03	zinc finger protein interacting with K protein 1 homolog (mouse)
30	MGC16384	0.6483116	2.5523209	0.729148	5.0350598	5.2456525	5.4619699	20.91909	1.73E-03	No description
31	CACNA1G	7.8805345	5.9863654	7.5485844	10.4148788	10.3631664	13.1879746	20.775352	5.40E-03	"calcium channel, voltage-dependent, T type, alpha 1G subunit"
32	TBX2	9.2316208	6.609289	4.2443689	11.367826	9.5017353	10.9655033	20.481001	1.53E-02	T-box 2
33	PRO0628	3.1936097	0.6483116	1.9733776	6.328517	6.142461	6.8717274	20.465747	1.15E-03	No description
34	ITGB7	4.6466554	2.2681465	2.9866267	5.7638769	7.4944285	8.9948928	20.36807	6.80E-03	"integrin, beta 7"
35	PECR	0.6483116	0.6483116	1.718753	5.8132612	4.9904324	5.6062211	20.281899	2.78E-04	peroxisomal trans-2-enoyl-CoA reductase
36	LRRC37A3	4.9718302	0.6483116	2.329319	6.552162	6.6656904	7.4411449	20.201232	7.60E-03	"leucine rich repeat containing 37, member A3"
37	NSMCE1	4.6466554	0.6483116	3.3505197	7.6813299	7.6813299	6.3666729	20.123512	6.26E-03	non-SMC element 1 homolog (S. cerevisiae)
38	TKTL1	0.6483116	1.9621413	3.958765	6.278927	5.2456525	6.9435083	19.928838	6.61E-03	transketolase-like 1
39	MGC12982	1.6483116	1.6483116	2.2059683	6.5167695	4.0174236	6.4870197	19.846342	4.32E-03	No description
40	KRBA1	3.618666	4.0746031	4.9155758	8.7120951	9.1720046	7.7226245	19.112291	7.01E-04	KRAB-A domain containing 1
41	NPW	0.6483116	1.9621413	3.3360202	5.688169	7.1845256	6.2020682	18.894925	2.36E-03	neuropeptide W
42	SMURF1	8.2662105	6.6251081	8.6635193	12.431918	12.7049336	12.4970084	18.77574	5.24E-04	SMAD specific E3 ubiquitin protein ligase 1
43	ACTR5	4.2644796	5.1856944	5.6110809	9.4150641	9.5200807	9.0443076	18.757163	3.50E-04	ARP5 actin-related protein 5 homolog (yeast)
44	PUS7L	0.6483116	0.6483116	0.6483116	4.3721071	4.8701789	5.0137688	18.659873	1.29E-04	pseudouridylate synthase 7 homolog (S. cerevisiae)-like
45	CACNB1	5.4043774	4.9182048	6.9335031	9.1312501	9.6441333	10.2050462	18.546118	2.17E-03	"calcium channel, voltage-dependent, beta 1 subunit"
46	RAB39	0.6483116	0.6483116	0.729148	4.8544415	4.9904324	3.9663207	18.457432	4.07E-04	"RAB39, member RAS oncogene family"
47	GPATCH2	2.6483116	3.6209792	3.8963187	6.8521689	7.8261097	7.8680365	18.428379	7.14E-04	G patch domain containing 2
48	ZNF844	0.6483116	0.6483116	1.5637346	5.4515283	4.3110219	5.7612151	18.347105	7.23E-04	zinc finger protein 844
49	FBXL8	4.6466554	0.6483116	2.1695068	7.1353629	6.3306255	6.3666729	18.343107	7.12E-03	F-box and leucine-rich repeat protein 8
50	C1orf51	4.4230841	5.2559591	6.1870259	8.7257205	9.4000409	9.4175354	17.680434	1.34E-03	chromosome 1 open reading frame 51
51	LAT	5.3218258	3.5081965	5.6956546	8.5086968	8.3135701	9.8325212	17.592232	3.16E-03	linker for activation of T cells
52	MESTIT1	4.6198424	3.6585753	4.6207983	8.1361258	7.8360945	8.7416558	17.398096	6.46E-04	MEST intronic transcript 1 (non-protein coding)
53	SMARCA4	6.5542069	7.2635279	8.5338891	11.3744092	11.9860449	11.0260322	17.278203	1.61E-03	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
54	DECR2	3.9465722	4.9833045	6.3061899	8.4470039	9.1525535	9.0940612	17.276711	3.06E-03	"2,4-dienoyl CoA reductase 2, peroxisomal"
55	ABCB4	0.6483116	1.9621413	3.2082768	4.7484251	6.5095784	6.1331314	17.149725	4.99E-03	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
56	LOC654433	2.6483116	2.9704313	3.2508156	7.0662414	8.1749477	4.5786096	17.098645	9.30E-03	No description
57	ZNF18	0.6483116	1.9621413	2.5523209	6.9627653	4.7277463	5.1575148	16.905663	4.43E-03	zinc finger protein 18
58	SLED1	0.6483116	1.6487905	3.810233	5.0350598	5.686767	7.4910098	16.426765	7.67E-03	No description
59	C17orf67	3.8596957	0.6483116	3.3360202	7.295045	7.1989181	7.8819231	16.248419	1.89E-03	chromosome 17 open reading frame 67
60	CCT2	9.877626	9.8395165	10.1019425	13.8244204	14.2212789	13.897906	16.226501	1.20E-04	"chaperonin containing TCP1, subunit 2 (beta)"
61	BCAM	8.3488047	4.464882	4.8139807	8.4805552	11.4011416	9.0957173	16.174769	1.64E-02	basal cell adhesion molecule (Lutheran blood group)
62	MAP1S	8.180519	7.4053608	8.6247975	12.188145	12.4739822	12.1572461	16.084799	3.05E-04	microtubule-associated protein 1S
63	PGS1	6.4444563	3.9828696	5.5232151	10.1086967	9.529396	8.9224196	16.068695	2.15E-03	phosphatidylglycerophosphate synthase 1
64	CXorf15	2.2332741	2.6485511	4.2214734	6.2385954	6.7095609	7.6242001	16.059124	3.12E-03	No description
65	TBC1D26	0.6483116	0.6483116	1.477118	3.8705691	5.4619699	5.4066346	15.832881	1.29E-03	"TBC1 domain family, member 26"
66	SNORA21	0.6483116	0.6483116	1.477118	4.6321821	4.9904324	5.2299521	15.822114	3.32E-04	"small nucleolar RNA, H/ACA box 21"
67	NUDT12	0.6483116	0.6483116	1.5637346	4.6321821	5.5997591	4.3891292	15.822114	8.72E-04	nudix (nucleoside diphosphate linked moiety X)-type motif 12
68	HOXC11	0.6483116	0.6483116	0.6483116	4.6321821	2.9866267	5.8300725	15.822114	4.06E-03	homeobox C11
69	ZNF692	5.3772798	4.2727004	5.2350007	8.8257844	8.9717676	9.3458214	15.654891	4.25E-04	zinc finger protein 692
70	SPEG	3.7919152	2.6483116	2.8713346	6.2395897	8.2175739	6.8378567	15.632993	1.94E-03	SPEG complex locus
71	KCNK3	2.2332741	3.1699951	2.7216901	8.0488837	6.6386028	6.1961671	15.593718	9.23E-04	"potassium channel, subfamily K, member 3"
72	CD3E	6.0696142	2.2332741	2.7216901	6.1900612	7.0573622	9.4878319	15.52786	1.55E-02	"CD3e molecule, epsilon (CD3-TCR complex)"
73	G6PD	7.9047488	7.5281894	9.2208217	12.804916	12.0794344	11.4821887	15.497884	1.88E-03	glucose-6-phosphate dehydrogenase
74	UCN	0.6483116	3.0455061	0.9989093	5.8940414	5.4106265	4.6015961	15.490207	4.74E-03	urocortin
75	MNAT1	5.7264791	3.0133725	4.4813839	8.9533947	8.4220699	7.20435	15.355526	5.83E-03	"menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)"
76	INTS12	4.6466554	4.2624744	3.9801925	8.1807109	8.5513434	7.8473478	14.977117	3.14E-04	integrator complex subunit 12
77	COX18	4.4824552	3.4864728	3.7098264	7.6142933	7.4604027	7.7909264	14.974821	5.42E-04	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)
78	C8orf86	5.3998053	5.1191904	6.6280662	9.4548571	9.9583896	9.0228562	14.966509	1.54E-03	chromosome 8 open reading frame 86
79	EXTL3	6.8703783	5.0695885	6.3615882	11.075914	10.0802817	8.970657	14.939588	3.36E-03	exostoses (multiple)-like 3
80	RMND5B	5.6882233	4.4918942	4.8826684	9.5845412	9.0714204	8.2800855	14.890475	9.46E-04	required for meiotic nuclear division 5 homolog B (S. cerevisiae)
81	LOC284551	0.6483116	3.9801925	0.6483116	4.5294444	4.8701789	4.6015961	14.734567	2.14E-02	No description
82	PRICKLE3	3.4556665	4.5136196	4.8177242	8.0248388	8.3879499	8.6879964	14.665255	5.69E-04	prickle homolog 3 (Drosophila)
83	IDO1	0.6483116	1.6487905	1.3870421	4.3721071	5.2456525	6.7978826	14.506327	1.82E-03	Description
84	SLC45A4	4.0076061	4.4019966	4.4650523	7.8519197	8.3277602	8.0841446	14.363283	2.06E-04	"solute carrier family 45, member 4"
85	TNFRSF4	6.6694908	4.3721071	6.3160569	9.9242251	9.1899505	10.5103551	14.328983	2.74E-03	"tumor necrosis factor receptor superfamily, member 4"
86	BCAN	4.4230841	2.6007523	4.5054544	7.9961427	7.5577339	8.3429557	14.29562	1.46E-03	brevican
87	RECQL4	2.9702397	3.2334338	4.3432151	6.5259008	7.3601634	8.1736893	14.226158	2.06E-03	RecQ protein-like 4
88	RGS12	6.234593	5.1531857	6.6400514	9.155211	10.0646753	10.2710363	14.222294	1.55E-03	regulator of G-protein signaling 12
89	NCF4	2.6483116	3.7907317	4.2410469	6.4764456	7.7340868	7.7525448	14.203101	2.34E-03	"neutrophil cytosolic factor 4, 40kDa"
90	RAGE	4.0076061	4.3757263	5.0371876	7.9739083	8.2828914	8.2018271	14.183098	5.88E-04	renal tumor antigen
91	ANAPC1	6.2266814	4.6149562	5.6543641	9.4323054	9.4755242	9.5181279	14.134609	7.68E-04	anaphase promoting complex subunit 1
92	ZNF570	1.6483116	1.6483116	2.1774439	5.4589794	4.9454937	6.0403287	14.032185	7.77E-04	zinc finger protein 570
93	GRID1	7.0530361	4.489526	4.8475113	9.5880629	8.311643	8.6459497	13.91374	8.42E-03	"glutamate receptor, ionotropic, delta 1"
94	LOC493754	8.5845692	7.7334397	8.8932375	11.7823236	12.1808432	12.6785577	13.787798	8.14E-04	No description
95	PLAC8L1	0.6483116	0.6483116	0.9989093	4.2624744	4.427996	5.0137688	13.734042	3.23E-04	PLAC8-like 1
96	SCT	0.6483116	0.6483116	1.477118	3.0806369	4.427996	5.6062211	13.734042	5.93E-03	secretin
97	LOC642313	3.1936097	0.6483116	1.9621413	5.6062211	5.7416656	6.2020682	13.732518	2.99E-03	No description
98	SNORD36C	7.1876749	6.6838971	8.7030496	10.4583303	11.7541017	11.6224868	13.684143	3.42E-03	"small nucleolar RNA, C/D box 36C"
99	NRN1L	3.1936097	0.6483116	2.358908	6.3981784	5.4106265	6.1331314	13.682153	3.43E-03	neuritin 1-like
100	RINT1	4.3136318	3.2555437	4.6015961	8.374828	7.9208111	7.3054848	13.672753	1.22E-03	RAD50 interactor 1
101	PJA1	7.4125269	3.8605351	4.4415421	8.4657613	8.1207247	8.2144145	13.669347	1.84E-02	praja ring finger 1
102	GPR37L1	4.1417523	3.5098259	4.713071	7.3168352	7.9142085	8.2525441	13.665404	1.04E-03	G protein-coupled receptor 37 like 1
103	RFPL3S	0.6483116	2.9405873	1.6487905	5.3552247	5.4106265	5.7612151	13.565177	2.77E-03	RFPL3 antisense RNA (non-protein coding)
104	MRPL34	7.253525	5.3552247	6.9783894	11.0130607	10.597784	9.9686311	13.543566	1.78E-03	mitochondrial ribosomal protein L34
105	SLC23A3	1.6483116	1.6483116	1.6483116	4.8776824	5.405438	7.7771801	13.520967	2.41E-03	"solute carrier family 23 (nucleobase transporters), member 3"
106	BTN2A2	5.1091892	2.4608604	3.2775699	7.2641407	6.2050991	7.4209673	13.400721	8.47E-03	"butyrophilin, subfamily 2, member A2"
107	LGSN	0.6483116	0.6483116	1.2453641	3.8705691	4.9904324	4.3891292	13.368981	9.91E-04	"lengsin, lens protein with glutamine synthetase domain"
108	SNAI3	2.2332741	2.2332741	2.7040996	4.9075633	5.9681519	9.073627	13.314052	7.06E-03	snail homolog 3 (Drosophila)
109	GCHFR	0.6483116	3.431467	3.8705691	7.1845256	6.5924848	7.1558084	13.21717	3.81E-03	GTP cyclohydrolase I feedback regulator
110	CECR6	0.6483116	0.6483116	0.729148	4.3721071	4.3110219	5.0137688	13.21217	2.15E-04	"cat eye syndrome chromosome region, candidate 6"
111	IGSF21	0.6483116	0.6483116	1.718753	4.3721071	2.9866267	6.5555051	13.21217	9.99E-03	"immunoglobin superfamily, member 21"
112	EPR1	5.2641547	1.9775059	4.6918492	5.9971676	8.4112654	8.8716002	13.172125	1.30E-02	effector cell peptidase receptor 1 (non-protein coding)
113	WDR81	6.2586678	5.8886517	6.722624	11.1072228	8.3742583	9.9761204	13.154209	6.08E-03	WD repeat domain 81
114	CTPS	5.6899296	6.4241531	5.0521906	9.4013181	9.546362	8.9667844	13.099034	1.26E-03	CTP synthase
115	NCRNA00105	3.9465722	3.1513313	4.1321264	4.7536687	7.6588954	7.8412014	13.078045	1.70E-02	No description
116	ZNF33A	3.2332741	3.7136629	4.1009853	7.0160301	7.8374132	6.9418638	13.073647	9.55E-04	zinc finger protein 33A
117	FAM50B	5.1091892	2.2332741	2.9513801	6.725861	6.3857487	6.6570557	13.047266	1.07E-02	"family with sequence similarity 50, member B"
118	SGK269	7.1907067	6.7886047	8.0393475	9.6154523	11.24942	11.7443562	13.041236	4.76E-03	No description
119	ZNF836	1.6483116	1.6483116	2.2453641	5.9725152	5.3116001	5.3526883	13.035524	5.15E-04	zinc finger protein 836
120	C19orf76	5.5521481	4.6673169	5.9885511	7.6363423	9.251837	9.7038227	12.993236	5.21E-03	chromosome 19 open reading frame 76
121	FOXE3	0.6483116	0.6483116	0.729148	4.3721071	4.427996	0.6483116	12.985665	4.23E-02	forkhead box E3
122	SNORD22	4.6466554	2.59287	4.6015961	7.3902382	8.3441779	7.9242941	12.97374	2.60E-03	"small nucleolar RNA, C/D box 22"
123	ACOX3	1.6483116	3.9041452	4.3506719	7.3691513	7.592342	7.8824825	12.890147	2.18E-03	"acyl-CoA oxidase 3, pristanoyl"
124	HSD11B1	4.9718302	5.8591914	7.6150348	9.6468304	9.0765774	9.5426281	12.847687	7.86E-03	hydroxysteroid (11-beta) dehydrogenase 1
125	PVT1	7.2143517	6.4825997	6.4964849	9.0542168	12.0903029	10.1598974	12.670596	6.15E-03	Pvt1 oncogene (non-protein coding)
126	C9orf45	0.6483116	0.6483116	0.729148	3.8705691	4.3110219	5.9613256	12.664431	1.49E-03	No description
127	PRDM11	0.6483116	0.6483116	0.729148	3.0806369	4.3110219	4.9012676	12.664431	2.89E-03	PR domain containing 11
128	RAB34	9.747058	8.0058226	8.9311349	13.3187091	12.5921544	12.196119	12.649597	1.87E-03	"RAB34, member RAS oncogene family"
129	SHARPIN	6.911337	5.3957832	6.2246149	10.1489079	9.8828091	9.1219871	12.624849	2.20E-03	SHANK-associated RH domain interactor
130	PHKG1	1.6483116	1.6483116	1.6483116	4.0174236	5.3040531	5.3980087	12.603404	2.63E-03	"phosphorylase kinase, gamma 1 (muscle)"
131	SCNM1	1.6483116	3.9041452	3.1701619	7.5529133	6.8124848	6.6585406	12.542631	1.91E-03	sodium channel modifier 1
132	FBXO10	5.9364935	3.2979475	4.101772	7.7483532	7.6171323	8.1357228	12.523633	6.78E-03	F-box protein 10
133	LOC283663	2.9702397	3.0669149	5.4122503	7.3576669	6.6036541	8.162794	12.409855	7.34E-03	No description
134	SURF2	0.6483116	0.6483116	0.9989093	4.6321821	4.3110219	3.0432576	12.408637	3.39E-03	surfeit 2
135	SECISBP2	7.0684707	5.1525392	6.5089554	10.5957052	10.1416096	9.7347377	12.403318	1.73E-03	SECIS binding protein 2
136	SNORA57	3.1936097	2.59287	0.6483116	4.7484251	5.2456525	6.8227282	12.372958	9.65E-03	"small nucleolar RNA, H/ACA box 57"
137	CFP	4.7342157	3.4202057	3.2962656	7.3025826	6.9138411	7.553816	12.274357	2.22E-03	complement factor properdin
138	TSPYL2	10.3961807	9.5766492	10.8054616	14.0114392	12.9424319	14.6092224	12.25466	2.81E-03	TSPY-like 2
139	ZNF767	4.524815	2.8137431	4.8760471	8.1223961	8.4003536	8.1396268	12.250866	1.23E-03	zinc finger family member 767
140	LRRC10	0.6483116	0.6483116	0.729148	3.8705691	4.7277463	4.2624744	12.245356	4.79E-04	leucine rich repeat containing 10
141	SLC22A9	0.6483116	0.6483116	0.6483116	2.201703	4.427996	4.2624744	12.245356	9.43E-03	"solute carrier family 22 (organic anion transporter), member 9"
142	SNORD34	0.6483116	1.9621413	3.3505197	4.2624744	5.8645919	5.9613256	12.245356	1.00E-02	"small nucleolar RNA, C/D box 34"
143	ACRBP	0.6483116	0.6483116	0.6483116	4.5294444	0.6483116	4.2624744	12.245356	4.10E-02	acrosin binding protein
144	XRCC6	10.8016298	10.4429864	11.3975327	14.4054257	14.4731675	14.0803569	12.157679	8.41E-04	X-ray repair complementing defective repair in Chinese hamster cells 6
145	TSEN54	5.6436889	4.45745	5.5513402	8.4608174	9.239697	8.6543943	12.092227	1.44E-03	tRNA splicing endonuclease 54 homolog (S. cerevisiae)
146	SPSB3	8.5148898	6.7801216	3.8909086	10.358759	9.9998498	11.0948187	11.947504	1.05E-02	splA/ryanodine receptor domain and SOCS box containing 3
147	RNASEH2C	2.2332741	2.2332741	2.9912641	6.7702531	5.8108377	4.776787	11.938615	4.70E-03	"ribonuclease H2, subunit C"
148	BCL2L12	5.1091892	4.8760471	5.8468112	8.6840258	8.6428485	8.7671732	11.91607	8.23E-04	BCL2-like 12 (proline rich)
149	REPIN1	8.8394236	6.3519376	6.9594262	10.6567178	10.7014568	9.9219895	11.876616	1.04E-02	replication initiator 1
150	CCDC127	4.1417523	5.2054376	6.5915471	8.7640458	9.093969	8.6448364	11.782781	4.56E-03	coiled-coil domain containing 127
151	DOCK9	5.7508245	4.4941287	4.1738911	8.052104	7.7656015	8.2916424	11.777613	3.50E-03	dedicator of cytokinesis 9
152	FAM83E	5.4523941	3.8140602	5.3040531	8.5116912	8.6213122	9.0093864	11.769591	1.33E-03	"family with sequence similarity 83, member E"
153	ANAPC2	5.7682424	4.5774926	4.0066894	8.4157301	7.5494413	8.4191218	11.653989	3.97E-03	anaphase promoting complex subunit 2
154	CASP8	5.3772798	4.8484407	5.5141557	8.2263307	8.9164698	9.0610051	11.625251	8.81E-04	"caspase 8, apoptosis-related cysteine peptidase"
155	FBXW5	9.0338471	7.2793632	8.7848848	12.5725606	11.7951416	11.033767	11.621412	4.93E-03	F-box and WD repeat domain containing 5
156	ZNF384	7.8374136	6.4278534	6.8524854	10.3858271	10.4683553	10.3271371	11.578221	1.90E-03	zinc finger protein 384
157	NCAPD3	2.6483116	4.5568669	2.9704313	6.5011514	6.888562	6.1809429	11.557201	5.95E-03	"non-SMC condensin II complex, subunit D3"
158	AATK	0.6483116	0.9989093	2.4013673	4.5294444	5.0531961	4.2624744	11.555719	4.32E-03	apoptosis-associated tyrosine kinase
159	SCRIB	6.591605	3.9483181	6.9722364	10.1217821	10.4096813	10.019164	11.552852	3.14E-03	scribbled homolog (Drosophila)
160	SGTA	8.4721663	4.6728978	9.7005263	11.5734848	12.0013773	12.7712753	11.545118	9.44E-03	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"
161	ADCK5	5.0421439	1.6483116	3.9041452	7.7928908	6.9688474	7.4228517	11.461361	6.51E-03	aarF domain containing kinase 5
162	NOC4L	6.7103583	6.1690128	7.0932019	10.2524542	10.6042856	9.5631591	11.400962	1.36E-03	nucleolar complex associated 4 homolog (S. cerevisiae)
163	PRKDC	7.1973154	6.6313399	7.9198066	11.1103249	10.7899722	10.133821	11.333182	2.10E-03	"protein kinase, DNA-activated, catalytic polypeptide"
164	PRC1	3.8596957	0.6483116	2.2681465	5.8940414	4.8701789	5.7612151	11.259482	1.19E-02	protein regulator of cytokinesis 1
165	KLHDC9	0.6483116	0.6483116	1.7533728	3.3505197	4.9904324	5.2299521	11.131525	4.33E-03	kelch domain containing 9
166	ATP6V1B1	4.0076061	2.6246983	3.4989875	6.3077569	7.482572	6.3325164	11.119083	3.63E-03	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1"
167	TCHP	4.9689149	3.475089	4.3940765	7.7326105	7.9328356	7.8645518	11.084527	1.38E-03	"trichoplein, keratin filament binding"
168	DDR2	6.9504881	4.8692998	5.1689039	9.8691141	8.9289887	8.3382965	11.073172	6.62E-03	discoidin domain receptor tyrosine kinase 2
169	SIN3A	8.5097082	7.806496	7.9489704	11.4137855	11.0143614	12.1077155	11.041124	1.37E-03	"SIN3 homolog A, transcription regulator (yeast)"
170	DEXI	9.1439354	7.4161012	8.8393459	12.3570175	12.3026717	11.958599	11.029732	1.68E-03	Dexi homolog (mouse)
171	SLC34A2	3.6483116	6.2431322	7.0956196	8.0815354	11.0665174	7.1033659	10.966675	3.28E-02	"solute carrier family 34 (sodium phosphate), member 2"
172	NFE2L1	9.6597159	7.3684849	9.0999389	13.1140168	11.5361128	11.1087815	10.96095	1.11E-02	nuclear factor (erythroid-derived 2)-like 1
173	BTG3	5.9364935	3.6948413	4.2261868	8.1465359	7.6803354	7.6417291	10.959793	6.62E-03	"BTG family, member 3"
174	KIF1A	1.6483116	4.2180436	4.1385099	5.1024276	8.1713951	6.0914809	10.959545	2.06E-02	kinesin family member 1A
175	KIAA1161	2.9702397	3.9419785	5.1890832	7.1071301	7.3957235	7.6592418	10.956727	4.80E-03	KIAA1161
176	KIAA0664	6.6604269	7.5745248	5.3645838	9.7126153	10.5870433	10.1100011	10.925097	3.68E-03	KIAA0664
177	ZBTB7B	6.7557164	5.4986199	6.1399271	9.5878715	9.8178396	9.1704411	10.912762	1.65E-03	zinc finger and BTB domain containing 7B
178	ST7L	2.6483116	3.2175749	4.0014567	6.7033495	6.8095276	6.0961941	10.912294	2.73E-03	suppression of tumorigenicity 7 like
179	MFSD9	1.6483116	1.6483116	1.8342345	5.4849872	5.0881733	2.7522541	10.851794	1.68E-02	major facilitator superfamily domain containing 9
180	SBF1	4.7357744	5.3743537	6.8857344	8.357142	8.809844	8.8106891	10.818963	7.95E-03	SET binding factor 1
181	MFSD7	5.0421439	3.6199448	6.0470411	8.5514037	8.4776097	8.1661534	10.818779	4.62E-03	major facilitator superfamily domain containing 7
182	MTHFR	7.7145061	6.3930884	7.286553	10.4463892	9.9120329	11.1458854	10.788178	3.07E-03	methylenetetrahydrofolate reductase (NAD(P)H)
183	FOXD2	0.6483116	1.2453641	2.4013673	5.3552247	3.633181	5.8300725	10.7682	6.43E-03	forkhead box D2
184	RABL3	5.9452976	4.6088388	6.3072156	9.7345624	9.2991233	8.2561942	10.758066	4.26E-03	"RAB, member of RAS oncogene family-like 3"
185	NASP	7.2973097	7.602248	8.4222113	10.9488266	11.0217776	11.5727704	10.699931	1.48E-03	nuclear autoantigenic sperm protein (histone-binding)
186	HIST1H1C	3.1936097	0.6483116	0.729148	6.6115332	5.686767	2.3702641	10.688026	2.42E-02	"histone cluster 1, H1c"
187	POLR3E	5.0870942	5.7824062	6.0407437	8.6072815	9.199187	9.3327949	10.679564	1.21E-03	polymerase (RNA) III (DNA directed) polypeptide E (80kD)
188	ZSCAN16	1.6483116	1.6483116	1.6483116	5.9725152	5.0598665	4.2355843	10.640949	2.34E-03	zinc finger and SCAN domain containing 16
189	RPAP2	2.6483116	3.2974582	2.9988303	6.4764456	6.7087102	5.1368619	10.638715	4.39E-03	RNA polymerase II associated protein 2
190	HHIPL1	4.6198424	2.6483116	3.3197675	7.4712265	6.7310059	6.7280461	10.638615	3.80E-03	HHIP-like 1
191	CYP8B1	0.6483116	2.2681465	2.358908	5.2125768	4.9904324	5.7612151	10.572958	2.91E-03	"cytochrome P450, family 8, subfamily B, polypeptide 1"
192	GPR83	2.2332741	2.5652526	3.414981	5.9634113	5.9112899	6.6807516	10.542599	1.66E-03	G protein-coupled receptor 83
193	OSTF1	8.0899574	6.007238	6.0467879	10.163498	9.403384	10.3967805	10.527902	7.01E-03	osteoclast stimulating factor 1
