	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N105	CD44+ N171	CD44+ N174	t-value	q-value	p-value	PseudoFC
82	TSPAN6	3.819732	2.023048	2.165421	10.448044	9.500541	7.849596	1.577243253	4.35E-02	1.21E-03	98.92829493
83	MTRNR2L5	1.874444	2.023048	2.165421	8.105092	8.609988	8.870819	1.875961939	4.35E-02	4.05E-04	96.13170883
84	FRA10AC1	3.024504	2.023048	2.165421	8.604261	9.031674	9.040427	1.815597976	4.35E-02	5.07E-04	95.7508315
85	TIMELESS	2.201691	2.809601	2.165421	8.779359	8.71031	10.18624	1.820527248	4.35E-02	4.93E-04	95.51583958
86	GBAS	2.201691	2.023048	2.165421	9.519665	8.737737	7.582913	1.708761447	4.35E-02	7.38E-04	95.16216427
87	NEIL1	1.874444	2.023048	2.165421	8.591796	8.055928	10.070856	1.794248436	4.35E-02	5.68E-04	94.92711748
88	COX17	1.874444	2.406905	2.165421	9.154721	8.724089	8.03232	1.807086789	4.35E-02	5.41E-04	94.26613985
89	VPS29	1.874444	2.023048	2.165421	8.566539	9.075328	8.175185	1.879831614	4.35E-02	3.91E-04	93.27969155
90	BRD7P3	1.874444	2.406905	2.165421	8.700282	9.148683	7.920856	1.779594439	4.35E-02	5.89E-04	92.72338294
91	SPTSSA	6.008206	6.311907	6.450701	12.416848	13.163326	12.839356	1.881210649	4.35E-02	3.84E-04	92.2481629
92	SSBP2	2.201691	2.023048	2.379345	8.768324	8.904331	7.395512	1.653705956	4.35E-02	9.29E-04	92.09088911
93	RPL37	7.497182	8.595375	8.735088	15.940876	15.026399	13.986349	1.713115805	4.35E-02	7.18E-04	89.83259212
94	PRINS	3.024504	4.413323	3.764125	9.388882	10.50375	10.895496	1.703343767	4.35E-02	7.59E-04	89.39815136
95	LAMB1	5.658609	4.750708	5.225216	8.688623	12.418836	11.706348	1.300864559	4.35E-02	3.93E-03	89.33361805
96	ASTN2	5.263699	6.060401	5.544653	11.538127	12.603491	12.019431	1.778701368	4.35E-02	5.95E-04	88.9410239
97	SCGB1D2	1.874444	3.872014	2.165421	14.671711	8.63937	6.69026	1.289303444	4.35E-02	4.06E-03	88.89001699
98	SPARCL1	5.897292	4.911517	5.217616	10.088666	12.274133	12.352619	1.547325881	4.35E-02	1.31E-03	87.74998484
99	ABCC9	3.819732	4.830496	4.754917	10.271723	11.577343	11.173574	1.751429087	4.35E-02	6.50E-04	87.54727253
100	LINC00311	1.874444	3.32135	2.379345	9.111713	9.652384	8.32282	1.710463899	4.35E-02	7.25E-04	87.32826877
101	ZNF638	2.201691	2.023048	2.165421	8.757204	8.609988	7.36177	1.663370591	4.35E-02	8.68E-04	87.09798586
102	NNMT	4.639409	5.43468	3.764125	9.651632	11.076418	12.388682	1.546620081	4.35E-02	1.33E-03	86.64286536
103	CSDA	4.263463	2.406905	3.935222	10.967897	10.369915	8.650903	1.564885589	4.35E-02	1.24E-03	86.50388582
104	FLJ30679	1.874444	2.023048	2.165421	8.447068	10.232059	8.305171	1.809168563	4.35E-02	5.21E-04	86.26644468
105	KIFAP3	1.874444	2.023048	2.165421	7.394225	8.59507	8.503924	1.695183285	4.35E-02	7.86E-04	86.2019723
106	GOLGA8A	3.839948	3.360637	2.165421	10.263887	9.789758	8.882768	1.685234499	4.35E-02	8.13E-04	86.17042702
107	ZCRB1	1.874444	2.023048	2.379345	8.993498	8.436733	7.255535	1.630753387	4.35E-02	9.90E-04	85.25338234
108	LINC00550	4.639409	3.32135	2.379345	9.179923	10.970576	9.730839	1.599789195	4.35E-02	1.12E-03	85.00576375
109	FAM156A	1.874444	2.023048	2.165421	8.105092	8.829823	8.407967	1.859916134	4.35E-02	4.19E-04	83.57033195
110	LTV1	1.874444	2.406905	2.165421	8.79031	8.579995	5.634184	1.295780792	4.35E-02	3.99E-03	83.4826698
111	XCL2	1.874444	2.023048	2.165421	10.26781	8.402869	6.106561	1.406450137	4.35E-02	2.35E-03	83.27552994
112	PCNP	2.201691	2.023048	3.324375	8.895478	9.694987	7.352555	1.522140822	4.35E-02	1.47E-03	82.74568936
113	METTL3	3.350997	2.023048	2.995681	9.716222	8.94019	8.705744	1.697356632	4.35E-02	7.72E-04	82.43731548
114	TAF1A	5.982974	4.911517	4.944468	11.247622	11.978942	11.938737	1.76331782	4.35E-02	6.29E-04	80.7900104
115	BUD31	2.201691	3.360637	3.324375	9.252991	8.533804	9.928242	1.659059754	4.35E-02	9.02E-04	80.56677882
116	SNRPE	3.839948	2.023048	2.165421	10.162171	8.59507	7.492252	1.44655248	4.35E-02	1.96E-03	80.01631261
117	SMA4	1.874444	2.023048	2.165421	8.331873	8.486085	8.053616	1.854393939	4.35E-02	4.32E-04	79.2767086
118	SEPP1	4.263463	4.750708	5.217616	11.043074	12.04356	9.869404	1.594210951	4.35E-02	1.14E-03	78.3774597
119	DAP	4.815804	2.023048	2.379345	9.929368	8.63937	8.650903	1.426831249	4.35E-02	2.17E-03	77.25511038
120	SRD5A3	3.839948	2.023048	2.165421	8.39062	8.436733	8.894619	1.538238892	4.35E-02	1.39E-03	77.24192131
121	LOC100507577	2.201691	2.023048	2.165421	8.711848	8.436733	7.849596	1.777731736	4.35E-02	6.02E-04	77.24192131
122	PENK	1.874444	2.023048	2.165421	8.286188	8.97518	2.921909	0.914976213	4.41E-02	1.56E-02	76.80562542
123	RCN2	1.874444	2.023048	2.165421	8.286188	9.540026	8.053616	1.786163442	4.35E-02	5.75E-04	76.80562542
124	PGM5P2	1.874444	2.023048	2.165421	7.167419	8.36819	8.424409	1.635560543	4.35E-02	9.77E-04	76.58492221
125	7-Mar	1.874444	2.023048	2.995681	9.552198	8.277663	6.931222	1.465747937	4.35E-02	1.77E-03	76.35312295
126	MYEOV2	1.874444	2.023048	2.165421	9.633502	8.277663	7.611911	1.693775148	4.35E-02	7.93E-04	76.35312295
127	PLEKHG4B	1.874444	2.406905	2.165421	7.656039	8.4199	9.329475	1.691246176	4.35E-02	8.06E-04	76.34592584
128	CTSK	2.993831	2.406905	2.165421	8.286188	10.840623	8.650903	1.657867832	4.35E-02	9.08E-04	75.793297
129	B3GNT6	1.874444	2.023048	2.165421	8.051486	8.71031	8.25089	1.835465685	4.35E-02	4.73E-04	74.94925286
130	RAB6C	1.874444	2.809601	2.165421	9.012327	8.453372	6.649696	1.441137748	4.35E-02	2.02E-03	73.65572695
131	HAT1	1.874444	2.023048	2.165421	8.222933	8.737737	8.03232	1.825900902	4.35E-02	4.87E-04	73.51086639
132	AGR2	1.874444	2.023048	2.165421	10.686531	8.220489	4.146207	1.102299491	4.35E-02	8.12E-03	73.38641922
133	LETMD1	1.874444	2.023048	2.165421	9.381659	8.220489	7.428484	1.662786021	4.35E-02	8.81E-04	73.38641922
134	MRPL51	1.874444	2.023048	2.165421	9.07636	8.220489	7.722406	1.739162714	4.35E-02	6.70E-04	73.38641922
135	HMGB1	3.350997	3.770995	3.90836	9.963633	10.132246	9.230086	1.716566958	4.35E-02	6.98E-04	73.14253387
136	SH3YL1	2.201691	2.023048	2.165421	9.424465	8.350533	6.106561	1.385568479	4.35E-02	2.64E-03	72.76196462
137	SSBP1	2.201691	2.809601	2.165421	9.33006	8.385634	7.020304	1.48885082	4.35E-02	1.60E-03	72.70299186
138	N4BP2	1.874444	2.023048	2.165421	7.748771	8.200916	8.503924	1.769713911	4.35E-02	6.16E-04	72.39752441
139	ADD3	4.209882	2.406905	3.935222	8.993498	10.558612	8.579284	1.446031008	4.35E-02	1.98E-03	72.12258695
140	SLC25A34	5.753024	3.770995	4.944468	10.153715	11.224335	11.098707	1.54063354	4.35E-02	1.37E-03	71.22139426
141	GPR124	2.201691	2.406905	3.935222	7.074163	10.074256	9.454835	1.401742654	4.35E-02	2.43E-03	70.47473434
142	TCEAL4	2.993831	3.32135	4.285996	10.423634	10.356707	9.02972	1.673515508	4.35E-02	8.40E-04	70.40654115
143	BBS5	1.874444	2.023048	2.165421	8.139755	9.321782	8.010706	1.770316472	4.35E-02	6.09E-04	70.33945248
144	TMEM231	5.491121	2.406905	2.379345	8.527804	8.791075	8.534542	1.217252978	4.35E-02	5.26E-03	69.92017279
145	MLF1	2.993831	2.023048	2.379345	7.607339	9.540026	8.503924	1.578356542	4.35E-02	1.21E-03	69.77212321
146	NUBPL	1.874444	2.023048	3.90836	8.069577	8.751258	8.135789	1.458889222	4.35E-02	1.83E-03	69.20197918
147	SNHG4	1.874444	2.023048	2.165421	6.283686	8.277663	8.213534	1.432548484	4.35E-02	2.11E-03	69.17804025
148	CXCL14	4.309025	6.092406	5.592916	6.651882	12.418836	11.702982	0.96220209	4.38E-02	1.33E-02	69.07376332
149	SDHD	1.874444	2.809601	2.165421	8.361545	8.916384	6.106561	1.334042198	4.35E-02	3.32E-03	68.91673571
150	PON2	1.874444	2.406905	2.379345	10.119387	8.469821	7.920856	1.691338951	4.35E-02	8.00E-04	68.14216959
151	SEC61G	2.993831	2.023048	2.379345	8.604261	8.469821	8.374509	1.709367061	4.35E-02	7.32E-04	68.14216959
152	HBP1	3.839948	3.32135	4.285996	10.298817	9.409671	9.922465	1.679649016	4.35E-02	8.20E-04	67.76725294
153	BHMT2	2.993831	2.023048	2.165421	6.651882	8.2398	9.211256	1.398157011	4.35E-02	2.46E-03	67.38609368
154	PPIA	6.554045	6.762934	6.326717	11.869047	12.859021	12.623111	1.661242799	4.35E-02	8.95E-04	67.13840789
155	ACTG2	1.874444	2.406905	2.165421	8.895478	8.220489	5.426231	1.247105706	4.35E-02	4.71E-03	66.49012465
156	TATDN1	1.874444	2.023048	2.165421	9.344992	8.077554	6.32627	1.435006348	4.35E-02	2.09E-03	66.46423302
157	PPWD1	1.874444	2.023048	2.379345	8.65307	8.077554	6.931222	1.542531026	4.35E-02	1.35E-03	66.46423302
158	COX4I1	5.316227	4.80797	5.723602	12.255316	11.30448	10.853609	1.663688649	4.35E-02	8.61E-04	66.05695683
159	MUCL1	4.209882	5.148082	2.995681	13.474327	9.375155	9.040427	1.361022676	4.35E-02	2.96E-03	66.01609304
160	CCDC148	1.874444	2.406905	2.165421	8.206677	8.518072	7.523109	1.666417704	4.35E-02	8.54E-04	65.85659481
161	LOC100507584	2.993831	2.023048	2.165421	6.498222	8.402869	9.008063	1.378889104	4.35E-02	2.75E-03	64.6344836
162	CLU	4.309025	6.044198	4.724406	12.054211	11.175024	9.857343	1.480628323	4.35E-02	1.67E-03	64.44572806
163	TOP2B	3.350997	3.32135	2.995681	9.513069	9.321782	8.357484	1.620680744	4.35E-02	1.02E-03	64.0191368
164	AGR3	3.024504	2.023048	2.165421	9.973276	8.160956	5.446557	1.190971261	4.35E-02	5.96E-03	63.80223603
165	C8orf59	3.839948	3.32135	2.165421	9.577706	9.312691	8.519314	1.579039887	4.35E-02	1.19E-03	63.61700766
166	SYNPO2	6.099991	3.770995	3.935222	9.924405	9.841243	10.166824	1.348636836	4.35E-02	3.11E-03	63.52197144
167	ANKRA2	1.874444	2.023048	2.165421	8.346785	8.011679	5.634184	1.299220119	4.35E-02	3.94E-03	63.49764466
168	METTL9	4.263463	2.023048	2.165421	9.179923	9.348715	8.010706	1.482599976	4.35E-02	1.66E-03	63.4548232
169	TRIM58	1.874444	2.809601	2.165421	7.70315	8.518072	8.79697	1.655609465	4.35E-02	9.22E-04	63.44208563
170	PLK2	2.993831	3.360637	5.018694	9.137671	9.44338	9.346832	1.430182539	4.35E-02	2.15E-03	63.39053395
171	CHMP2B	1.874444	2.809601	4.285996	10.240121	9.198885	7.849596	1.448769749	4.35E-02	1.92E-03	62.90718247
172	CD48	3.024504	2.023048	2.995681	8.974419	8.332658	8.858771	1.672049138	4.35E-02	8.47E-04	61.81627289
173	C14orf2	4.682076	4.351315	2.379345	10.145209	9.796295	10.630827	1.601642733	4.35E-02	1.11E-03	61.76640587
174	TMEM50A	4.639409	2.023048	2.165421	10.586416	9.064538	6.106561	1.1769806	4.35E-02	6.26E-03	61.69181251
175	API5	1.874444	2.406905	4.754917	8.331873	8.36819	7.800057	1.247261419	4.35E-02	4.70E-03	60.75654758
176	CD2	1.874444	2.023048	2.165421	8.915622	7.25505	7.943848	1.618406033	4.35E-02	1.04E-03	60.58129954
177	UG0898H09	4.743564	2.023048	3.935222	8.745998	9.492512	10.662364	1.441054827	4.35E-02	2.03E-03	60.49735265
178	GPLD1	1.874444	3.872014	3.90836	7.792994	9.075328	9.973643	1.379815947	4.35E-02	2.73E-03	60.48688242
179	PPT1	3.350997	2.023048	2.165421	8.206677	8.077554	7.96648	1.523784225	4.35E-02	1.45E-03	60.21843259
180	LUM	4.815804	4.389936	5.974145	10.402378	12.532831	10.302002	1.4691771	4.35E-02	1.74E-03	60.21559926
181	TOP1P1	2.993831	3.32135	3.90836	9.799885	9.615895	8.155622	1.516181741	4.35E-02	1.51E-03	59.3643455
182	PITRM1	2.201691	2.809601	2.165421	8.700282	8.36819	7.492252	1.589520795	4.35E-02	1.17E-03	59.32962928
183	GNG11	5.700376	2.406905	2.165421	8.239009	8.296229	9.008063	1.157979692	4.35E-02	6.67E-03	59.27383745
184	NUDT9	4.743564	4.413323	3.90836	9.794456	10.765988	9.832914	1.591693272	4.35E-02	1.17E-03	59.14136941
185	DLC1	1.874444	2.809601	4.285996	8.239009	9.20872	8.692228	1.436271223	4.35E-02	2.07E-03	58.9993446
186	GNPTG	3.024504	2.809601	2.379345	8.875048	8.904331	6.106561	1.251006579	4.35E-02	4.62E-03	58.88495099
187	OR11A1	1.874444	2.023048	2.165421	6.339437	8.077554	7.897492	1.430393383	4.35E-02	2.14E-03	58.66564075
188	GTF3A	1.874444	2.023048	2.165421	9.733347	7.89473	6.924055	1.519092461	4.35E-02	1.49E-03	58.55343516
189	MSH3	3.350997	2.406905	2.165421	7.210813	8.751258	9.211256	1.461677519	4.35E-02	1.81E-03	58.09168605
190	THUMPD1	3.819732	2.023048	2.165421	7.877571	8.258856	8.095288	1.417095149	4.35E-02	2.22E-03	57.86115524
191	AREG	1.874444	3.770995	3.935222	12.218289	9.623267	2.921909	0.832883218	4.48E-02	1.98E-02	57.77096022
192	BCO2	1.874444	2.023048	2.165421	7.42265	8.751258	7.873743	1.652383994	4.35E-02	9.36E-04	57.70781913
193	DDHD1	4.309025	2.406905	3.935222	9.212855	10.157854	9.389334	1.556078511	4.35E-02	1.29E-03	57.63323771
194	LOC401074	1.874444	2.406905	2.165421	7.814607	9.652384	7.722406	1.611799847	4.35E-02	1.06E-03	57.59860672
195	STXBP3	1.874444	2.023048	2.165421	9.030914	7.870158	6.931222	1.541650609	4.35E-02	1.36E-03	57.56461128
196	EFCAB4A	2.201691	2.023048	2.995681	9.4931	8.033973	6.931222	1.426180066	4.35E-02	2.17E-03	56.97599942
197	TMEM17	2.201691	2.023048	2.165421	7.995811	7.819723	8.579284	1.732072961	4.35E-02	6.77E-04	56.90132997
198	ITPR1	1.874444	2.023048	2.165421	8.033165	7.845161	7.36177	1.661592255	4.35E-02	8.88E-04	56.57579413
199	RPL23P8	8.224469	8.407985	8.710484	14.854834	14.229975	12.740216	1.418889418	4.35E-02	2.21E-03	56.57094654
200	USMG5	4.682076	5.297868	2.379345	11.349244	10.11666	8.194487	1.279768138	4.35E-02	4.19E-03	56.30308342
201	DYNC2LI1	1.874444	2.023048	3.324375	7.937902	7.68534	8.232333	1.492102969	4.35E-02	1.56E-03	56.13765012
202	TUBA1A	4.963444	5.809601	4.944468	11.18883	11.618502	10.437793	1.589065557	4.35E-02	1.18E-03	56.06002393
203	TRIP13	1.874444	2.406905	3.324375	7.679787	7.870158	9.123341	1.478101842	4.35E-02	1.68E-03	55.6753434
204	QARS	3.819732	3.872014	3.324375	10.544987	9.608485	8.32282	1.493715001	4.35E-02	1.55E-03	55.28257456
205	NDUFAB1	1.874444	2.809601	2.165421	8.579223	8.033973	7.640338	1.603960178	4.35E-02	1.10E-03	54.55432044
206	ACTA2	1.874444	6.060401	2.165421	9.615142	8.140553	7.640338	1.084132897	4.35E-02	8.81E-03	54.41355806
207	IGFBP7	7.392123	5.195784	6.704285	13.156556	12.408206	11.964266	1.533128851	4.35E-02	1.42E-03	54.35845954
208	IKBKAP	2.201691	2.023048	2.379345	7.42265	8.140553	8.03232	1.629863814	4.35E-02	9.97E-04	54.23709835
209	ASB4	3.024504	2.023048	5.018694	7.995811	8.777924	8.784285	1.245046811	4.35E-02	4.75E-03	53.94510074
210	FAM192A	2.201691	2.023048	2.995681	8.591796	8.453372	7.774634	1.62042571	4.35E-02	1.02E-03	53.87659078
211	TMEM9	2.201691	3.32135	3.324375	9.23707	8.332658	7.943848	1.475841785	4.35E-02	1.70E-03	53.52562077
212	PCF11	1.874444	2.023048	3.90836	8.122528	8.4199	7.611911	1.388454947	4.35E-02	2.59E-03	53.3518941
213	SNHG5	1.874444	2.406905	2.379345	9.196483	7.96603	7.611911	1.614652598	4.35E-02	1.05E-03	53.3518941
214	TRIM59	1.874444	2.023048	3.764125	7.607339	8.777924	8.456743	1.457570981	4.35E-02	1.85E-03	53.18306912
215	PSIP1	1.874444	3.32135	2.165421	7.897963	8.055928	7.800057	1.486005217	4.35E-02	1.63E-03	53.17005402
216	LMOD1	2.201691	3.360637	2.165421	9.040118	8.71031	7.897492	1.593751306	4.35E-02	1.15E-03	53.15269239
